gene_id	gene_name	gene_type	chr	start	end	strand
ENSG00000266019	MIR3609	miRNA	chr7	98881650	98881729	+
ENSG00000168300	PCMTD1	protein_coding	chr8	51817575	51899186	-
ENSG00000175305	CCNE2	protein_coding	chr8	94879770	94896678	-
ENSG00000179698	WDR97	protein_coding	chr8	144107726	144118328	+
ENSG00000167702	KIFC2	protein_coding	chr8	144466043	144474202	+
ENSG00000160972	PPP1R16A	protein_coding	chr8	144477969	144502121	+
ENSG00000198467	TPM2	protein_coding	chr9	35681992	35690056	-
ENSG00000165115	KIF27	protein_coding	chr9	83834099	83921465	-
ENSG00000177943	MAMDC4	protein_coding	chr9	136850943	136860799	+
ENSG00000122870	BICC1	protein_coding	chr10	58512872	58831435	+
ENSG00000255026	ENSG00000255026	lncRNA	chr11	287305	288987	+
ENSG00000142102	PGGHG	protein_coding	chr11	289126	296107	+
ENSG00000177685	CRACR2B	protein_coding	chr11	826144	831991	+
ENSG00000149043	SYT8	protein_coding	chr11	1828307	1837521	+
ENSG00000130598	TNNI2	protein_coding	chr11	1838981	1841680	+
ENSG00000201998	SNORA23	snoRNA	chr11	9428773	9428954	+
ENSG00000255717	SNHG1	lncRNA	chr11	62851833	62856444	-
ENSG00000168056	LTBP3	protein_coding	chr11	65538559	65558930	-
ENSG00000167799	NUDT8	protein_coding	chr11	67627938	67629937	-
ENSG00000255031	ENSG00000255031	lncRNA	chr11	68050740	68053839	+
ENSG00000111554	MDM1	protein_coding	chr12	68272443	68332381	-
ENSG00000212443	SNORA53	snoRNA	chr12	98599635	98599883	+
ENSG00000208892	SNORA49	snoRNA	chr12	132031224	132031359	+
ENSG00000222489	SNORA79B	snoRNA	chr14	20323179	20323326	-
ENSG00000175265	GOLGA8A	protein_coding	chr15	34378935	34437808	-
ENSG00000161996	WDR90	protein_coding	chr16	649311	667833	+
ENSG00000103269	RHBDL1	protein_coding	chr16	675671	678268	+
ENSG00000197774	EME2	protein_coding	chr16	1772810	1781708	+
ENSG00000167968	DNASE1L2	protein_coding	chr16	2235816	2238711	+
ENSG00000245694	CRNDE	lncRNA	chr16	54844649	54931354	-
ENSG00000256982	ENSG00000256982	lncRNA	chr16	89046172	89052975	-
ENSG00000185324	CDK10	protein_coding	chr16	89680737	89696354	+
ENSG00000179029	TMEM107	protein_coding	chr17	8172457	8176399	-
ENSG00000262074	SNORD3B-2	snoRNA	chr17	19063346	19064136	-
ENSG00000263934	SNORD3A	snoRNA	chr17	19188016	19188714	+
ENSG00000264940	SNORD3C	snoRNA	chr17	19189665	19190245	-
ENSG00000108465	CDK5RAP3	protein_coding	chr17	47967810	47981781	+
ENSG00000108960	MMD	protein_coding	chr17	55392622	55421924	-
ENSG00000291117	ENSG00000291117	lncRNA	chr17	64779259	64837139	-
ENSG00000169683	LRRC45	protein_coding	chr17	82023305	82031151	+
ENSG00000266010	GATA6-AS1	lncRNA	chr18	22087583	22169878	-
ENSG00000105173	CCNE1	protein_coding	chr19	29811991	29824312	+
ENSG00000133247	KMT5C	protein_coding	chr19	55339853	55348121	+
ENSG00000291100	ENSG00000291100	lncRNA	chr20	28559376	28603092	-
ENSG00000226332	ENSG00000226332	lncRNA	chr20	62305432	62306325	-
ENSG00000026036	RTEL1-TNFRSF6B	protein_coding	chr20	63659300	63698684	+
ENSG00000101246	ARFRP1	protein_coding	chr20	63698642	63708025	-
ENSG00000197114	ZGPAT	protein_coding	chr20	63707465	63736142	+
ENSG00000200792	SNORA80A	snoRNA	chr21	32377187	32377322	-
