loop_id,loop_chr,loop_start,loop_end,chr1,start1,end1,chr2,start2,end2
19182,chr1,43232500,43427500,chr1,43232500,43237500,chr1,43422500,43427500
7595,chr1,43245000,43580000,chr1,43245000,43250000,chr1,43575000,43580000
7596,chr1,43525000,43625000,chr1,43525000,43530000,chr1,43620000,43625000
7597,chr1,43525000,43645000,chr1,43525000,43530000,chr1,43640000,43645000
154,chr1,43525000,43935000,chr1,43525000,43530000,chr1,43930000,43935000
27943,chr1,43532500,43937500,chr1,43532500,43537500,chr1,43932500,43937500
18242,chr1,53802500,55247500,chr1,53802500,53807500,chr1,55242500,55247500
7767,chr1,109200000,109405000,chr1,109200000,109205000,chr1,109400000,109405000
28012,chr1,109272500,109397500,chr1,109272500,109277500,chr1,109392500,109397500
15214,chr1,109282500,109397500,chr1,109282500,109287500,chr1,109392500,109397500
349,chr1,117072500,117757500,chr1,117072500,117077500,chr1,117752500,117757500
19425,chr1,117512500,117747500,chr1,117512500,117517500,chr1,117742500,117747500
7796,chr1,117512500,117757500,chr1,117512500,117517500,chr1,117752500,117757500
7797,chr1,117512500,117887500,chr1,117512500,117517500,chr1,117882500,117887500
19426,chr1,117522500,117907500,chr1,117522500,117527500,chr1,117902500,117907500
19431,chr1,119370000,119675000,chr1,119370000,119375000,chr1,119670000,119675000
354,chr1,119370000,119680000,chr1,119370000,119375000,chr1,119675000,119680000
31520,chr1,119372500,119657500,chr1,119372500,119377500,chr1,119652500,119657500
358,chr1,119472500,119677500,chr1,119472500,119477500,chr1,119672500,119677500
7799,chr1,119550000,119670000,chr1,119550000,119555000,chr1,119665000,119670000
359,chr1,119615000,119670000,chr1,119615000,119620000,chr1,119665000,119670000
19435,chr1,119615000,119675000,chr1,119615000,119620000,chr1,119670000,119675000
19441,chr1,149895000,150050000,chr1,149895000,149900000,chr1,150045000,150050000
19440,chr1,149895000,150170000,chr1,149895000,149900000,chr1,150165000,150170000
19444,chr1,151015000,151155000,chr1,151015000,151020000,chr1,151150000,151155000
366,chr1,151020000,151160000,chr1,151020000,151025000,chr1,151155000,151160000
7810,chr1,151095000,151160000,chr1,151095000,151100000,chr1,151155000,151160000
19450,chr1,151912500,152037500,chr1,151912500,151917500,chr1,152032500,152037500
15227,chr1,151930000,152035000,chr1,151930000,151935000,chr1,152030000,152035000
15231,chr1,153792500,153977500,chr1,153792500,153797500,chr1,153972500,153977500
28034,chr1,153792500,153987500,chr1,153792500,153797500,chr1,153982500,153987500
18254,chr1,153792500,154337500,chr1,153792500,153797500,chr1,154332500,154337500
7820,chr1,153805000,153915000,chr1,153805000,153810000,chr1,153910000,153915000
7821,chr1,153860000,153915000,chr1,153860000,153865000,chr1,153910000,153915000
7825,chr1,154405000,154475000,chr1,154405000,154410000,chr1,154470000,154475000
28035,chr1,154555000,154940000,chr1,154555000,154560000,chr1,154935000,154940000
15233,chr1,154670000,154945000,chr1,154670000,154675000,chr1,154940000,154945000
28038,chr1,155250000,155595000,chr1,155250000,155255000,chr1,155590000,155595000
15235,chr1,155262500,155587500,chr1,155262500,155267500,chr1,155582500,155587500
15261,chr1,179702500,180177500,chr1,179702500,179707500,chr1,180172500,180177500
19573,chr1,179702500,180197500,chr1,179702500,179707500,chr1,180192500,180197500
15260,chr1,179702500,180477500,chr1,179702500,179707500,chr1,180472500,180477500
7937,chr1,179815000,180180000,chr1,179815000,179820000,chr1,180175000,180180000
7938,chr1,179862500,180177500,chr1,179862500,179867500,chr1,180172500,180177500
19574,chr1,179862500,180187500,chr1,179862500,179867500,chr1,180182500,180187500
7939,chr1,179952500,180177500,chr1,179952500,179957500,chr1,180172500,180177500
15262,chr1,179955000,180165000,chr1,179955000,179960000,chr1,180160000,180165000
461,chr1,180182500,180417500,chr1,180182500,180187500,chr1,180412500,180417500
462,chr1,180182500,180487500,chr1,180182500,180187500,chr1,180482500,180487500
28078,chr1,180185000,180420000,chr1,180185000,180190000,chr1,180415000,180420000
471,chr1,182960000,183190000,chr1,182960000,182965000,chr1,183185000,183190000
7948,chr1,182960000,183235000,chr1,182960000,182965000,chr1,183230000,183235000
18267,chr1,182960000,183285000,chr1,182960000,182965000,chr1,183280000,183285000
19592,chr1,182962500,183247500,chr1,182962500,182967500,chr1,183242500,183247500
28081,chr1,183020000,183235000,chr1,183020000,183025000,chr1,183230000,183235000
28082,chr1,183140000,183230000,chr1,183140000,183145000,chr1,183225000,183230000
518,chr1,203502500,203707500,chr1,203502500,203507500,chr1,203702500,203707500
8002,chr1,203520000,204125000,chr1,203520000,203525000,chr1,204120000,204125000
8003,chr1,203592500,203707500,chr1,203592500,203597500,chr1,203702500,203707500
19648,chr1,203710000,203785000,chr1,203710000,203715000,chr1,203780000,203785000
19668,chr1,206612500,206987500,chr1,206612500,206617500,chr1,206982500,206987500
15290,chr1,206622500,206987500,chr1,206622500,206627500,chr1,206982500,206987500
534,chr1,206725000,206985000,chr1,206725000,206730000,chr1,206980000,206985000
19670,chr1,206730000,206985000,chr1,206730000,206735000,chr1,206980000,206985000
19671,chr1,206732500,207077500,chr1,206732500,206737500,chr1,207072500,207077500
8018,chr1,206742500,206987500,chr1,206742500,206747500,chr1,206982500,206987500
19673,chr1,207062500,207507500,chr1,207062500,207067500,chr1,207502500,207507500
19674,chr1,207080000,207500000,chr1,207080000,207085000,chr1,207495000,207500000
535,chr1,207080000,207505000,chr1,207080000,207085000,chr1,207500000,207505000
19677,chr1,207410000,207505000,chr1,207410000,207415000,chr1,207500000,207505000
19699,chr1,210432500,211667500,chr1,210432500,210437500,chr1,211662500,211667500
550,chr1,211320000,211660000,chr1,211320000,211325000,chr1,211655000,211660000
551,chr1,211470000,211660000,chr1,211470000,211475000,chr1,211655000,211660000
19703,chr1,211472500,211657500,chr1,211472500,211477500,chr1,211652500,211657500
28106,chr1,211502500,211657500,chr1,211502500,211507500,chr1,211652500,211657500
552,chr1,211515000,211660000,chr1,211515000,211520000,chr1,211655000,211660000
28107,chr1,211520000,211660000,chr1,211520000,211525000,chr1,211655000,211660000
19704,chr1,211542500,211657500,chr1,211542500,211547500,chr1,211652500,211657500
553,chr1,211572500,211667500,chr1,211572500,211577500,chr1,211662500,211667500
19705,chr1,211575000,211665000,chr1,211575000,211580000,chr1,211660000,211665000
8074,chr1,221242500,222197500,chr1,221242500,221247500,chr1,222192500,222197500
19754,chr1,221462500,222177500,chr1,221462500,221467500,chr1,222172500,222177500
15310,chr1,221462500,222457500,chr1,221462500,221467500,chr1,222452500,222457500
19755,chr1,221472500,222157500,chr1,221472500,221477500,chr1,222152500,222157500
28121,chr1,221472500,222447500,chr1,221472500,221477500,chr1,222442500,222447500
8077,chr1,221475000,222175000,chr1,221475000,221480000,chr1,222170000,222175000
8078,chr1,221745000,222180000,chr1,221745000,221750000,chr1,222175000,222180000
583,chr1,221972500,223027500,chr1,221972500,221977500,chr1,223022500,223027500
19769,chr1,225470000,225845000,chr1,225470000,225475000,chr1,225840000,225845000
15315,chr1,225470000,225920000,chr1,225470000,225475000,chr1,225915000,225920000
599,chr1,225470000,225980000,chr1,225470000,225475000,chr1,225975000,225980000
600,chr1,225472500,225847500,chr1,225472500,225477500,chr1,225842500,225847500
28122,chr1,225472500,225907500,chr1,225472500,225477500,chr1,225902500,225907500
19770,chr1,225472500,225977500,chr1,225472500,225477500,chr1,225972500,225977500
28123,chr1,225472500,226107500,chr1,225472500,225477500,chr1,226102500,226107500
19775,chr1,225772500,225977500,chr1,225772500,225777500,chr1,225972500,225977500
8088,chr1,225772500,225987500,chr1,225772500,225777500,chr1,225982500,225987500
8089,chr1,225780000,225840000,chr1,225780000,225785000,chr1,225835000,225840000
8096,chr1,228672500,230317500,chr1,228672500,228677500,chr1,230312500,230317500
611,chr1,229260000,230315000,chr1,229260000,229265000,chr1,230310000,230315000
19788,chr1,229262500,230317500,chr1,229262500,229267500,chr1,230312500,230317500
613,chr1,229412500,231837500,chr1,229412500,229417500,chr1,231832500,231837500
8100,chr1,229715000,230315000,chr1,229715000,229720000,chr1,230310000,230315000
18281,chr1,229782500,230317500,chr1,229782500,229787500,chr1,230312500,230317500
19789,chr1,229985000,230065000,chr1,229985000,229990000,chr1,230060000,230065000
677,chr10,4810000,5295000,chr10,4810000,4815000,chr10,5290000,5295000
8160,chr10,4812500,5627500,chr10,4812500,4817500,chr10,5622500,5627500
28167,chr10,4815000,5290000,chr10,4815000,4820000,chr10,5285000,5290000
28168,chr10,4815000,5435000,chr10,4815000,4820000,chr10,5430000,5435000
678,chr10,4822500,5427500,chr10,4822500,4827500,chr10,5422500,5427500
19855,chr10,4822500,5627500,chr10,4822500,4827500,chr10,5622500,5627500
8161,chr10,4832500,5107500,chr10,4832500,4837500,chr10,5102500,5107500
19856,chr10,4832500,5397500,chr10,4832500,4837500,chr10,5392500,5397500
19857,chr10,4842500,5287500,chr10,4842500,4847500,chr10,5282500,5287500
679,chr10,4842500,5387500,chr10,4842500,4847500,chr10,5382500,5387500
681,chr10,4850000,5285000,chr10,4850000,4855000,chr10,5280000,5285000
28169,chr10,4850000,5385000,chr10,4850000,4855000,chr10,5380000,5385000
680,chr10,4850000,5435000,chr10,4850000,4855000,chr10,5430000,5435000
19860,chr10,4852500,5087500,chr10,4852500,4857500,chr10,5082500,5087500
15355,chr10,4852500,5097500,chr10,4852500,4857500,chr10,5092500,5097500
19858,chr10,4852500,5417500,chr10,4852500,4857500,chr10,5412500,5417500
683,chr10,5090000,5290000,chr10,5090000,5095000,chr10,5285000,5290000
19861,chr10,5092500,5287500,chr10,5092500,5097500,chr10,5282500,5287500
8181,chr10,15212500,15377500,chr10,15212500,15217500,chr10,15372500,15377500
20003,chr10,58410000,58530000,chr10,58410000,58415000,chr10,58525000,58530000
8302,chr10,58412500,58517500,chr10,58412500,58417500,chr10,58512500,58517500
816,chr10,58412500,58537500,chr10,58412500,58417500,chr10,58532500,58537500
15409,chr10,58412500,58637500,chr10,58412500,58417500,chr10,58632500,58637500
20004,chr10,58412500,58647500,chr10,58412500,58417500,chr10,58642500,58647500
18309,chr10,58530000,58640000,chr10,58530000,58535000,chr10,58635000,58640000
20005,chr10,58530000,58650000,chr10,58530000,58535000,chr10,58645000,58650000
8303,chr10,58532500,59187500,chr10,58532500,58537500,chr10,59182500,59187500
8304,chr10,58772500,58947500,chr10,58772500,58777500,chr10,58942500,58947500
8305,chr10,58775000,59115000,chr10,58775000,58780000,chr10,59110000,59115000
817,chr10,58775000,59230000,chr10,58775000,58780000,chr10,59225000,59230000
20007,chr10,58780000,59185000,chr10,58780000,58785000,chr10,59180000,59185000
20006,chr10,58780000,59230000,chr10,58780000,58785000,chr10,59225000,59230000
818,chr10,58780000,59625000,chr10,58780000,58785000,chr10,59620000,59625000
819,chr10,58782500,59177500,chr10,58782500,58787500,chr10,59172500,59177500
15410,chr10,58782500,59607500,chr10,58782500,58787500,chr10,59602500,59607500
28240,chr10,58782500,59617500,chr10,58782500,58787500,chr10,59612500,59617500
28241,chr10,58782500,60037500,chr10,58782500,58787500,chr10,60032500,60037500
8306,chr10,58782500,60057500,chr10,58782500,58787500,chr10,60052500,60057500
8307,chr10,58785000,58920000,chr10,58785000,58790000,chr10,58915000,58920000
8308,chr10,58790000,58855000,chr10,58790000,58795000,chr10,58850000,58855000
28242,chr10,58792500,58947500,chr10,58792500,58797500,chr10,58942500,58947500
8309,chr10,58802500,58927500,chr10,58802500,58807500,chr10,58922500,58927500
15424,chr10,67862500,68907500,chr10,67862500,67867500,chr10,68902500,68907500
20048,chr10,68212500,68887500,chr10,68212500,68217500,chr10,68882500,68887500
8343,chr10,68212500,68897500,chr10,68212500,68217500,chr10,68892500,68897500
20051,chr10,69002500,69387500,chr10,69002500,69007500,chr10,69382500,69387500
855,chr10,69005000,69395000,chr10,69005000,69010000,chr10,69390000,69395000
28258,chr10,69232500,69397500,chr10,69232500,69237500,chr10,69392500,69397500
857,chr10,69232500,69517500,chr10,69232500,69237500,chr10,69512500,69517500
8346,chr10,69242500,69397500,chr10,69242500,69247500,chr10,69392500,69397500
8348,chr10,69745000,69920000,chr10,69745000,69750000,chr10,69915000,69920000
8349,chr10,69785000,69920000,chr10,69785000,69790000,chr10,69915000,69920000
28262,chr10,71302500,71897500,chr10,71302500,71307500,chr10,71892500,71897500
18315,chr10,71312500,71897500,chr10,71312500,71317500,chr10,71892500,71897500
20065,chr10,71835000,71900000,chr10,71835000,71840000,chr10,71895000,71900000
20178,chr10,99390000,99550000,chr10,99390000,99395000,chr10,99545000,99550000
31585,chr10,99392500,99617500,chr10,99392500,99397500,chr10,99612500,99617500
970,chr10,99395000,99610000,chr10,99395000,99400000,chr10,99605000,99610000
28304,chr10,99842500,100507500,chr10,99842500,99847500,chr10,100502500,100507500
976,chr10,100300000,100515000,chr10,100300000,100305000,chr10,100510000,100515000
20184,chr10,100302500,100517500,chr10,100302500,100307500,chr10,100512500,100517500
977,chr10,100332500,100437500,chr10,100332500,100337500,chr10,100432500,100437500
20185,chr10,100332500,100517500,chr10,100332500,100337500,chr10,100512500,100517500
15452,chr10,100332500,100887500,chr10,100332500,100337500,chr10,100882500,100887500
978,chr10,100340000,100515000,chr10,100340000,100345000,chr10,100510000,100515000
1000,chr10,104285000,104355000,chr10,104285000,104290000,chr10,104350000,104355000
20209,chr10,104290000,104355000,chr10,104290000,104295000,chr10,104350000,104355000
20210,chr10,104292500,104627500,chr10,104292500,104297500,chr10,104622500,104627500
15460,chr10,104300000,104350000,chr10,104300000,104305000,chr10,104345000,104350000
8492,chr10,119602500,119867500,chr10,119602500,119607500,chr10,119862500,119867500
8493,chr10,119610000,119655000,chr10,119610000,119615000,chr10,119650000,119655000
31591,chr10,119612500,119857500,chr10,119612500,119617500,chr10,119852500,119857500
28344,chr11,192500,357500,chr11,192500,197500,chr11,352500,357500
1070,chr11,195000,360000,chr11,195000,200000,chr11,355000,360000
1072,chr11,1640000,2155000,chr11,1640000,1645000,chr11,2150000,2155000
28348,chr11,1642500,2157500,chr11,1642500,1647500,chr11,2152500,2157500
28349,chr11,1650000,1835000,chr11,1650000,1655000,chr11,1830000,1835000
15494,chr11,1650000,1885000,chr11,1650000,1655000,chr11,1880000,1885000
15493,chr11,1650000,1955000,chr11,1650000,1655000,chr11,1950000,1955000
1073,chr11,1662500,1997500,chr11,1662500,1667500,chr11,1992500,1997500
1075,chr11,1690000,1950000,chr11,1690000,1695000,chr11,1945000,1950000
1074,chr11,1690000,2000000,chr11,1690000,1695000,chr11,1995000,2000000
28350,chr11,1692500,1837500,chr11,1692500,1697500,chr11,1832500,1837500
15495,chr11,1695000,1870000,chr11,1695000,1700000,chr11,1865000,1870000
28352,chr11,1695000,1955000,chr11,1695000,1700000,chr11,1950000,1955000
28351,chr11,1695000,2000000,chr11,1695000,1700000,chr11,1995000,2000000
8514,chr11,1702500,1837500,chr11,1702500,1707500,chr11,1832500,1837500
1076,chr11,1760000,1830000,chr11,1760000,1765000,chr11,1825000,1830000
28353,chr11,1765000,1830000,chr11,1765000,1770000,chr11,1825000,1830000
1077,chr11,1830000,2005000,chr11,1830000,1835000,chr11,2000000,2005000
28354,chr11,1835000,2000000,chr11,1835000,1840000,chr11,1995000,2000000
8518,chr11,2185000,2530000,chr11,2185000,2190000,chr11,2525000,2530000
8519,chr11,2192500,2897500,chr11,2192500,2197500,chr11,2892500,2897500
8520,chr11,2305000,2530000,chr11,2305000,2310000,chr11,2525000,2530000
1083,chr11,2425000,2895000,chr11,2425000,2430000,chr11,2890000,2895000
1084,chr11,2432500,2527500,chr11,2432500,2437500,chr11,2522500,2527500
20285,chr11,2432500,2897500,chr11,2432500,2437500,chr11,2892500,2897500
8521,chr11,2530000,3025000,chr11,2530000,2535000,chr11,3020000,3025000
1085,chr11,2532500,2887500,chr11,2532500,2537500,chr11,2882500,2887500
31594,chr11,2552500,2767500,chr11,2552500,2557500,chr11,2762500,2767500
20286,chr11,2695000,2885000,chr11,2695000,2700000,chr11,2880000,2885000
8547,chr11,8910000,9510000,chr11,8910000,8915000,chr11,9505000,9510000
28372,chr11,9012500,9507500,chr11,9012500,9017500,chr11,9502500,9507500
8548,chr11,9022500,9497500,chr11,9022500,9027500,chr11,9492500,9497500
1113,chr11,9162500,9507500,chr11,9162500,9167500,chr11,9502500,9507500
8550,chr11,9182500,9507500,chr11,9182500,9187500,chr11,9502500,9507500
8551,chr11,9272500,9447500,chr11,9272500,9277500,chr11,9442500,9447500
8636,chr11,34515000,35405000,chr11,34515000,34520000,chr11,35400000,35405000
1199,chr11,34532500,35407500,chr11,34532500,34537500,chr11,35402500,35407500
20420,chr11,34582500,35407500,chr11,34582500,34587500,chr11,35402500,35407500
20421,chr11,34585000,35390000,chr11,34585000,34590000,chr11,35385000,35390000
1202,chr11,34920000,35400000,chr11,34920000,34925000,chr11,35395000,35400000
20424,chr11,34925000,35240000,chr11,34925000,34930000,chr11,35235000,35240000
8638,chr11,34925000,35310000,chr11,34925000,34930000,chr11,35305000,35310000
20425,chr11,34925000,35395000,chr11,34925000,34930000,chr11,35390000,35395000
1203,chr11,34925000,35485000,chr11,34925000,34930000,chr11,35480000,35485000
20426,chr11,34930000,35485000,chr11,34930000,34935000,chr11,35480000,35485000
1204,chr11,34932500,35237500,chr11,34932500,34937500,chr11,35232500,35237500
20427,chr11,34995000,35390000,chr11,34995000,35000000,chr11,35385000,35390000
1205,chr11,34995000,35395000,chr11,34995000,35000000,chr11,35390000,35395000
1265,chr11,60822500,61187500,chr11,60822500,60827500,chr11,61182500,61187500
1266,chr11,60830000,60895000,chr11,60830000,60835000,chr11,60890000,60895000
1271,chr11,61472500,61637500,chr11,61472500,61477500,chr11,61632500,61637500
15566,chr11,62392500,62687500,chr11,62392500,62397500,chr11,62682500,62687500
28436,chr11,62392500,62697500,chr11,62392500,62397500,chr11,62692500,62697500
15567,chr11,62392500,62847500,chr11,62392500,62397500,chr11,62842500,62847500
28442,chr11,65880000,65985000,chr11,65880000,65885000,chr11,65980000,65985000
8722,chr11,77120000,77190000,chr11,77120000,77125000,chr11,77185000,77190000
20533,chr11,77120000,77560000,chr11,77120000,77125000,chr11,77555000,77560000
28463,chr11,77122500,77627500,chr11,77122500,77127500,chr11,77622500,77627500
1326,chr11,77125000,77555000,chr11,77125000,77130000,chr11,77550000,77555000
15610,chr11,94612500,96427500,chr11,94612500,94617500,chr11,96422500,96427500
15611,chr11,94962500,96427500,chr11,94962500,94967500,chr11,96422500,96427500
31617,chr11,94972500,95767500,chr11,94972500,94977500,chr11,95762500,95767500
28486,chr11,95062500,95777500,chr11,95062500,95067500,chr11,95772500,95777500
20597,chr11,95065000,95710000,chr11,95065000,95070000,chr11,95705000,95710000
18373,chr11,95152500,95367500,chr11,95152500,95157500,chr11,95362500,95367500
15612,chr11,95152500,95767500,chr11,95152500,95157500,chr11,95762500,95767500
20598,chr11,95152500,95777500,chr11,95152500,95157500,chr11,95772500,95777500
1379,chr11,95155000,95710000,chr11,95155000,95160000,chr11,95705000,95710000
8763,chr11,95155000,96430000,chr11,95155000,95160000,chr11,96425000,96430000
20599,chr11,95160000,95595000,chr11,95160000,95165000,chr11,95590000,95595000
28488,chr11,95160000,95705000,chr11,95160000,95165000,chr11,95700000,95705000
28487,chr11,95162500,96417500,chr11,95162500,95167500,chr11,96412500,96417500
15613,chr11,95212500,96427500,chr11,95212500,95217500,chr11,96422500,96427500
20684,chr11,119472500,120117500,chr11,119472500,119477500,chr11,120112500,120117500
8833,chr11,119482500,120107500,chr11,119482500,119487500,chr11,120102500,120107500
8834,chr11,119615000,120115000,chr11,119615000,119620000,chr11,120110000,120115000
1449,chr11,119660000,120020000,chr11,119660000,119665000,chr11,120015000,120020000
8835,chr11,119662500,120107500,chr11,119662500,119667500,chr11,120102500,120107500
28530,chr11,119665000,120015000,chr11,119665000,119670000,chr11,120010000,120015000
20685,chr11,119672500,120107500,chr11,119672500,119677500,chr11,120102500,120107500
1467,chr11,124402500,124867500,chr11,124402500,124407500,chr11,124862500,124867500
20707,chr11,124410000,124870000,chr11,124410000,124415000,chr11,124865000,124870000
15651,chr11,124652500,124857500,chr11,124652500,124657500,chr11,124852500,124857500
20708,chr11,124652500,124867500,chr11,124652500,124657500,chr11,124862500,124867500
20709,chr11,124662500,124767500,chr11,124662500,124667500,chr11,124762500,124767500
15652,chr11,124662500,124777500,chr11,124662500,124667500,chr11,124772500,124777500
1469,chr11,124662500,124837500,chr11,124662500,124667500,chr11,124832500,124837500
15653,chr11,124665000,124800000,chr11,124665000,124670000,chr11,124795000,124800000
8856,chr11,124672500,124857500,chr11,124672500,124677500,chr11,124852500,124857500
20713,chr11,128032500,128667500,chr11,128032500,128037500,chr11,128662500,128667500
1481,chr11,128032500,128837500,chr11,128032500,128037500,chr11,128832500,128837500
8864,chr11,128162500,128627500,chr11,128162500,128167500,chr11,128622500,128627500
28543,chr11,128162500,128637500,chr11,128162500,128167500,chr11,128632500,128637500
1482,chr11,128162500,128837500,chr11,128162500,128167500,chr11,128832500,128837500
1483,chr11,128165000,128775000,chr11,128165000,128170000,chr11,128770000,128775000
20714,chr11,128165000,128780000,chr11,128165000,128170000,chr11,128775000,128780000
20716,chr11,128282500,128627500,chr11,128282500,128287500,chr11,128622500,128627500
8867,chr11,128282500,128837500,chr11,128282500,128287500,chr11,128832500,128837500
15657,chr11,128292500,128627500,chr11,128292500,128297500,chr11,128622500,128627500
20717,chr11,128292500,128827500,chr11,128292500,128297500,chr11,128822500,128827500
20725,chr11,129772500,130127500,chr11,129772500,129777500,chr11,130122500,130127500
8872,chr11,129782500,130137500,chr11,129782500,129787500,chr11,130132500,130137500
20728,chr11,129920000,130140000,chr11,129920000,129925000,chr11,130135000,130140000
28550,chr11,129922500,130127500,chr11,129922500,129927500,chr11,130122500,130127500
1491,chr11,129922500,130137500,chr11,129922500,129927500,chr11,130132500,130137500
20729,chr11,129990000,130130000,chr11,129990000,129995000,chr11,130125000,130130000
1492,chr11,129990000,130135000,chr11,129990000,129995000,chr11,130130000,130135000
20730,chr11,130000000,130075000,chr11,130000000,130005000,chr11,130070000,130075000
1493,chr11,130005000,130070000,chr11,130005000,130010000,chr11,130065000,130070000
28571,chr12,6425000,6540000,chr12,6425000,6430000,chr12,6535000,6540000
15717,chr12,50765000,51345000,chr12,50765000,50770000,chr12,51340000,51345000
20928,chr12,50812500,51347500,chr12,50812500,50817500,chr12,51342500,51347500
9061,chr12,50815000,51255000,chr12,50815000,50820000,chr12,51250000,51255000
28630,chr12,50820000,51035000,chr12,50820000,50825000,chr12,51030000,51035000
15718,chr12,50822500,51347500,chr12,50822500,50827500,chr12,51342500,51347500
1644,chr12,50825000,51035000,chr12,50825000,50830000,chr12,51030000,51035000
15742,chr12,67352500,68327500,chr12,67352500,67357500,chr12,68322500,68327500
20996,chr12,68042500,68307500,chr12,68042500,68047500,chr12,68302500,68307500
15744,chr12,68042500,68317500,chr12,68042500,68047500,chr12,68312500,68317500
1710,chr12,68220000,68320000,chr12,68220000,68225000,chr12,68315000,68320000
28664,chr12,68222500,68317500,chr12,68222500,68227500,chr12,68312500,68317500
9120,chr12,68230000,69085000,chr12,68230000,68235000,chr12,69080000,69085000
1796,chr12,98422500,98657500,chr12,98422500,98427500,chr12,98652500,98657500
9204,chr12,98422500,98997500,chr12,98422500,98427500,chr12,98992500,98997500
15782,chr12,98490000,98655000,chr12,98490000,98495000,chr12,98650000,98655000
21087,chr12,98560000,98660000,chr12,98560000,98565000,chr12,98655000,98660000
1797,chr12,98562500,98657500,chr12,98562500,98567500,chr12,98652500,98657500
21088,chr12,98562500,99007500,chr12,98562500,98567500,chr12,99002500,99007500
9206,chr12,98572500,99007500,chr12,98572500,98577500,chr12,99002500,99007500
15785,chr12,99052500,100567500,chr12,99052500,99057500,chr12,100562500,100567500
1803,chr12,99802500,100557500,chr12,99802500,99807500,chr12,100552500,100557500
31660,chr12,99802500,100567500,chr12,99802500,99807500,chr12,100562500,100567500
21094,chr12,99810000,100555000,chr12,99810000,99815000,chr12,100550000,100555000
9212,chr12,100145000,100565000,chr12,100145000,100150000,chr12,100560000,100565000
28695,chr12,100232500,100557500,chr12,100232500,100237500,chr12,100552500,100557500
15786,chr12,100242500,100557500,chr12,100242500,100247500,chr12,100552500,100557500
21095,chr12,100350000,100560000,chr12,100350000,100355000,chr12,100555000,100560000
9213,chr12,100352500,100547500,chr12,100352500,100357500,chr12,100542500,100547500
