Unnamed: 0,chr1,start1,end1,chr2,start2,end2,status,ctrl_signal,rbp1_signal,log2FC,log2FC_clipped,condition,distance,loop_id,comp_switch_A1,comp_switch_A2,loop_class,source,CTCF_signal,H3K27me3_signal,H3K4me3_signal,rad21_signal,GC_mean,GC_diff,E1_anchor1_ctrl,E1_anchor1_rbp1,E1_anchor2_ctrl,E1_anchor2_rbp1,delta_E1_anchor1,delta_E1_anchor2,gene_id
29,chr1,9782500,9787500,chr1,9862500,9867500,shared,0.0491330547021674,0.0387432988699654,-0.342747137055419,-0.342747137055419,shared,80000,29,stable,stable,inter-TAD,ctrl,10.14769,8.275272,0.188543,0.034904007,0.511,0.0631999999999999,0.6748699925967264,0.8426933688204861,0.8351787170344092,0.6900573742705363,0.1678233762237596,-0.1451213427638729,22883
31,chr1,9942500,9947500,chr1,10152500,10157500,shared,0.0133454934624802,0.016496199854544,0.3057810649391296,0.3057810649391296,shared,210000,31,stable,stable,intra-TAD,ctrl,11.25709,0.28251252,0.27771875,0.032097716,0.4751999999999999,0.0116,0.8007324181723071,0.8825964138708036,0.8471937120954524,0.8497242368260206,0.0818639956984964,0.0025305247305682,116362
32,chr1,9952500,9957500,chr1,10422500,10427500,shared,0.0090084080947246,0.0136160076015713,0.5959596572546644,0.5959596572546644,shared,470000,32,stable,stable,inter-TAD,ctrl,20.39327,0.09417095,0.22823626,0.05896455,0.4959,0.0449999999999999,0.7230035173759507,0.742096612676852,0.7149348021182846,0.6797420418499056,0.0190930953009013,-0.035192760268379,116362
33,chr1,11032500,11037500,chr1,11722500,11727500,shared,0.0111511260322511,0.0057969551762364,-0.9438221643272504,-0.9438221643272504,shared,690000,33,stable,stable,uncategorized,ctrl,22.514166,0.1883416,0.188543,0.048859682,0.4971,0.0329999999999999,0.647780603113998,0.6977238805117411,0.7225574196347487,0.8451894516211311,0.049943277397743,0.1226320319863824,"26232,29914,5394,57540,6723"
34,chr1,11340000,11345000,chr1,11640000,11645000,shared,0.0107042208479074,0.0147320625005349,0.4607796361028545,0.4607796361028545,shared,300000,34,stable,stable,intra-TAD,ctrl,7.896275,0.788681,0.188543,0.039701946,0.5001,0.0074,0.5398011192982402,0.5867839612808602,0.5203639002495885,0.4216952797270054,0.04698284198262,-0.098668620522583,"26232,57540"
35,chr1,11835000,11840000,chr1,11895000,11900000,shared,0.0429742292984243,0.0393451076580846,-0.1272875106788153,-0.1272875106788153,shared,60000,35,stable,stable,uncategorized,ctrl,2.3819351,0.18834169,0.188543,0.023273604,0.5325,0.0338,0.8237299561983,0.9416437188125732,0.8052385608911028,0.9064451070737004,0.1179137626142732,0.1012065461825976,4879
36,chr1,12110000,12115000,chr1,12660000,12665000,shared,0.0062116802384002,0.0042225439875537,-0.5568711132343098,-0.5568711132343098,shared,550000,36,stable,stable,uncategorized,ctrl,0.26103398,0.37668344,0.26939508,0.026937038,0.4784,0.0692,0.7903501205924849,0.9097597049699996,0.3302280496291545,0.2764612696505963,0.1194095843775145,-0.0537667799785581,"105376744,9249,943"
37,chr1,12122500,12127500,chr1,12202500,12207500,shared,0.0975049132878751,0.0831757582609582,-0.2293118050139662,-0.2293118050139662,shared,80000,37,stable,stable,inter-TAD,ctrl,3.393441,0.0,0.19859076,0.035175327,0.5518000000000001,0.0151999999999999,0.7903501205924849,0.9097597049699996,0.6685687537056092,0.6320636677016757,0.1194095843775145,-0.0365050860039335,943
38,chr1,12270000,12275000,chr1,12660000,12665000,shared,0.0139152329305167,0.0163265109799074,0.23055145745839,0.23055145745839,shared,390000,38,stable,stable,intra-TAD,ctrl,6.8847685,1.8481047,0.27057144,0.035038944,0.4407,0.0061999999999999,0.4623930795920257,0.5225654538302981,0.3302280496291545,0.2764612696505963,0.0601723742382723,-0.0537667799785581,"105376744,9249"
39,chr1,12472500,12477500,chr1,12602500,12607500,shared,0.013849402636789,0.0174660708105706,0.3347313440783489,0.3347313440783489,shared,130000,39,stable,stable,inter-TAD,ctrl,36.251076,0.7415961,0.2558798,0.06852804,0.4533,0.0309999999999999,0.5784344980921032,0.69950399138852,0.4250720840690082,0.5340149075404743,0.1210694932964168,0.1089428234714661,"105376744,9249"
45,chr1,15060000,15065000,chr1,15300000,15305000,shared,0.0172134369129153,0.0098349954450416,-0.8075388917268672,-0.8075388917268672,shared,240000,45,stable,stable,intra-TAD,ctrl,0.39155096,4.0258083,0.188543,0.022627631,0.4919,0.0605999999999999,0.4572379012412788,0.4911734894885813,0.6934165950967114,0.669420791612445,0.0339355882473025,-0.0239958034842663,55092
46,chr1,15125000,15130000,chr1,15305000,15310000,shared,0.040946479715146,0.0348875972779509,-0.231025182618934,-0.231025182618934,shared,180000,46,stable,stable,intra-TAD,ctrl,35.892147,0.32959804,0.19068554,0.03379116,0.4972,0.0088,0.5953564614675173,0.5689854429997082,0.6934165950967114,0.669420791612445,-0.026371018467809,-0.0239958034842663,55092
47,chr1,15315000,15320000,chr1,15500000,15505000,shared,0.01458002412766,0.0103297969682801,-0.497181208729522,-0.497181208729522,shared,185000,47,stable,stable,intra-TAD,ctrl,4.0460243,1.3183926,0.188543,0.04688147,0.471,0.0524,0.6934165950967114,0.669420791612445,0.9626628892820616,0.9140196141923216,-0.0239958034842663,-0.0486432750897397,"11330,51032,63036,79180"
48,chr1,15792500,15797500,chr1,15992500,15997500,shared,,,0.0,0.0,shared,200000,48,stable,stable,intra-TAD,ctrl,11.616008,0.1883419,0.22526813,0.028973168,0.5175000000000001,0.0634,0.9558261802315076,0.9708489127720612,0.8982122352399861,0.8156277117077052,0.0150227325405536,-0.0825845235322808,"440567,7709"
49,chr1,16075000,16080000,chr1,16240000,16245000,shared,0.0447476008680345,0.0364638350966129,-0.2953440293865823,-0.2953440293865823,shared,165000,49,,stable,intra-TAD,ctrl,29.6926,0.3766836,0.21754962,0.047484294,0.5385,0.0333999999999999,0.641766272250926,,0.8357162168934061,0.9137256521222004,,0.0780094352287943,101927479
50,chr1,16140000,16145000,chr1,16185000,16190000,shared,,,0.0,0.0,shared,45000,50,,,intra-TAD,ctrl,17.032448,0.65919685,0.19365412,0.02731746,0.5408,0.0428,,,,,,,101927479
53,chr1,16620000,16625000,chr1,16945000,16950000,shared,0.0280008701440508,0.0314814934497953,0.1690323219517363,0.1690323219517363,shared,325000,53,stable,stable,intra-TAD,ctrl,12.9537945,0.7298246,0.188543,0.04724004,0.5635,0.0205999999999999,1.049676405174353,1.100424445777323,1.00337016569802,1.0391081501604853,0.0507480406029696,0.0357379844624652,26870
57,chr1,17912500,17917500,chr1,18572500,18577500,shared,0.0064462097809811,0.0070453571974202,0.1282217133509063,0.1282217133509063,shared,660000,57,stable,stable,intra-TAD,ctrl,38.30673,0.6945102,0.188543,0.041068647,0.5174,0.0396,0.2682587839022087,0.3535376425025463,0.5064999276243343,0.3924407148171568,0.0852788586003376,-0.1140592128071774,127707
58,chr1,18295000,18300000,chr1,18580000,18585000,shared,0.0113236244080273,0.0088288685751757,-0.3590353299734007,-0.3590353299734007,shared,285000,58,stable,stable,intra-TAD,ctrl,12.529622,0.753367,0.47847274,0.04302829,0.505,0.0283999999999999,0.3657415800143049,0.3583526309338564,0.5064999276243343,0.3924407148171568,-0.0073889490804484,-0.1140592128071774,127707
60,chr1,18595000,18600000,chr1,18870000,18875000,shared,0.0213927804596574,0.0251290447580154,0.2322318259677524,0.2322318259677524,shared,275000,60,stable,stable,uncategorized,ctrl,23.199375,0.92993784,0.36625022,0.03913326,0.5263,0.0509999999999999,0.5064999276243343,0.3924407148171568,0.5480432423901597,0.6237841003660191,-0.1140592128071774,0.0757408579758593,"80834,8659"
61,chr1,19345000,19350000,chr1,19650000,19655000,shared,0.0187920389087586,0.0208728720740009,0.1515075211458548,0.1515075211458548,shared,305000,61,stable,stable,uncategorized,ctrl,2.8387434,0.17657027,0.188543,0.031533606,0.5305,0.0221999999999999,0.8660378135165444,0.6625128838465224,0.719298862825841,0.533771523493667,-0.203524929670022,-0.185527339332174,4681
62,chr1,19712500,19717500,chr1,19872500,19877500,shared,0.0198006660446733,0.0153391764050701,-0.3683279363845593,-0.3683279363845593,shared,160000,62,stable,stable,inter-TAD,ctrl,15.074707,6.850935,0.188543,0.03468378,0.4641,0.0233999999999999,0.7886805726322392,0.7913184914719342,0.773158237964809,0.6839496130957984,0.0026379188396949,-0.0892086248690106,54546
63,chr1,19912500,19917500,chr1,20492500,20497500,shared,0.0136723773157777,0.0102568345879349,-0.4146785542080737,-0.4146785542080737,shared,580000,63,stable,stable,uncategorized,ctrl,7.504723,9.723152,0.20258343,0.032144863,0.4861999999999999,0.0359999999999999,0.6770393629413594,0.5692250384225064,0.6098717242365052,0.5589117651950913,-0.1078143245188529,-0.0509599590414138,5322
64,chr1,19972500,19977500,chr1,20152500,20157500,shared,0.020352434044967,0.0156841610537818,-0.375892982165645,-0.375892982165645,shared,180000,64,stable,stable,intra-TAD,ctrl,1.3051698,0.62388235,0.19816256,0.025057297,0.4929,0.0529999999999999,0.6759696724822082,0.6257735870952605,0.5668169774519164,0.4618897988691229,-0.0501960853869476,-0.1049271785827934,5322
68,chr1,20532500,20537500,chr1,21192500,21197500,shared,0.0044903339182882,0.0042661096527448,-0.0739016851798051,-0.0739016851798051,shared,660000,68,stable,stable,uncategorized,ctrl,10.702391,0.28251255,0.46141517,0.047901437,0.4774,0.0263999999999999,0.5370311281791587,0.5968736401779436,0.5693993936972965,0.607711477210719,0.0598425119987849,0.0383120835134225,"100861548,163933,1650,400745,65018"
69,chr1,20575000,20580000,chr1,20635000,20640000,shared,0.0334090339872247,0.0350144665068049,0.0677128380602109,0.0677128380602109,shared,60000,69,stable,stable,intra-TAD,ctrl,1.0767652,0.09417081,0.18854302,0.025885705,0.499,0.0056,0.7068593258996232,0.7384511980466884,0.7263570036592562,0.7066632988674406,0.0315918721470651,-0.0196937047918155,65018
70,chr1,20690000,20695000,chr1,21195000,21200000,shared,0.0345399555470136,0.0401451614521886,0.2169598894069118,0.2169598894069118,shared,505000,70,stable,stable,uncategorized,ctrl,39.35085,0.6591959,0.19756028,0.063550055,0.4891999999999999,0.0403999999999999,0.5454749218454026,0.4772908176872183,0.5693993936972965,0.607711477210719,-0.0681841041581842,0.0383120835134225,400745
71,chr1,21222500,21227500,chr1,21572500,21577500,shared,0.0154270209249217,0.0100328246473248,-0.6207316530741869,-0.6207316530741869,shared,350000,71,stable,stable,intra-TAD,ctrl,3.0997772,0.0941708,0.188543,0.039089043,0.5409999999999999,0.0348,0.463573872805017,0.4565809593601253,0.5980565956259969,0.6520914039067366,-0.0069929134448917,0.0540348082807397,1889
74,chr1,21705000,21710000,chr1,21955000,21960000,shared,0.0221319265336439,0.0121660659173424,-0.8632663138576805,-0.8632663138576805,shared,250000,74,stable,stable,intra-TAD,ctrl,14.487379,0.35314068,0.188543,0.055644177,0.4718,0.1484,0.6475728429457271,0.6356730800687285,0.6455194334910211,0.6433256403755193,-0.0118997628769986,-0.0021937931155018,3339
75,chr1,22105000,22110000,chr1,22415000,22420000,shared,0.0228349889670436,0.0150187508542358,-0.6044812672510178,-0.6044812672510178,shared,310000,75,stable,stable,intra-TAD,ctrl,16.1841,1.1182792,0.2618653,0.06201892,0.4856,0.0455999999999999,0.5571821251441073,0.5449443439436561,0.4472903916120115,0.5423164030884666,-0.0122377812004511,0.095026011476455,54361
76,chr1,22112500,22117500,chr1,22642500,22647500,shared,0.0051056040034864,0.0047668303306701,-0.0990513695928991,-0.0990513695928991,shared,530000,76,stable,stable,inter-TAD,ctrl,3.1324058,0.28251266,0.19228664,0.038484775,0.5394,0.0267999999999999,0.5571821251441073,0.5449443439436561,0.5114486233527324,0.5121874421337017,-0.0122377812004511,0.0007388187809692,"2046,54361,9923"
77,chr1,22665000,22670000,chr1,22960000,22965000,shared,0.025277722740995,0.0275363466968164,0.1234706692773536,0.1234706692773536,shared,295000,77,stable,stable,uncategorized,ctrl,15.107338,0.23542725,0.19892533,0.053034913,0.5062,0.0319999999999999,0.5874706286737447,0.558544841079831,0.4923354562093378,0.5366890131372872,-0.0289257875939136,0.0443535569279494,"2048,646262"
78,chr1,22672500,22677500,chr1,22882500,22887500,shared,0.0197343540449,0.0302415185386597,0.6158212874771787,0.6158212874771787,shared,210000,78,stable,stable,intra-TAD,ctrl,10.865537,0.37668344,0.47189197,0.044437893,0.5421,0.0033999999999999,0.5874706286737447,0.558544841079831,0.6613848960470387,0.6474867638675003,-0.0289257875939136,-0.0138981321795383,2048
79,chr1,22972500,22977500,chr1,23272500,23277500,shared,0.0166533314686725,0.0158251894845473,-0.0735880406715489,-0.0735880406715489,shared,300000,79,stable,stable,uncategorized,ctrl,18.109211,0.12948495,0.30232283,0.04931566,0.4612,0.05,0.4923354562093378,0.5366890131372872,0.7273656694502547,0.7645379880216913,0.0443535569279494,0.0371723185714365,"3352,646262,729059"
80,chr1,23490000,23495000,chr1,23640000,23645000,shared,0.0110413331870204,0.0151183361047945,0.4533849870251957,0.4533849870251957,shared,150000,80,stable,stable,intra-TAD,ctrl,12.36647,0.3649122,0.188543,0.044041324,0.488,0.008,0.7842755076825754,0.8665741629715239,0.7397876314559094,0.7133898147258337,0.0822986552889485,-0.0263978167300756,259283
82,chr1,23540000,23545000,chr1,23635000,23640000,shared,0.0808811607373267,0.0696461325331389,-0.2157604598757957,-0.2157604598757957,shared,95000,82,stable,stable,intra-TAD,ctrl,3.067148,0.2001132,0.2133513,0.025340982,0.5163,0.0273999999999999,0.6858819764361959,0.6989353395168385,0.7397876314559094,0.7133898147258337,0.0130533630806426,-0.0263978167300756,259283
83,chr1,23552500,23557500,chr1,23632500,23637500,shared,0.0477079221406692,0.0454840659550201,-0.0688676261323477,-0.0688676261323477,shared,80000,83,stable,stable,intra-TAD,ctrl,39.285583,0.52971095,0.44523063,0.04308945,0.5229,0.0486,0.8795589940838836,0.92472615916253,0.7397876314559094,0.7133898147258337,0.0451671650786464,-0.0263978167300756,259283
84,chr1,24150000,24155000,chr1,24395000,24400000,shared,0.019161184410183,0.0185183575047258,-0.049230597439217,-0.049230597439217,shared,245000,84,stable,stable,uncategorized,ctrl,84.41183,0.94170904,0.39581233,0.03759338,0.4161,0.1457999999999999,0.6420280689803561,0.6550752641788997,0.819169029359191,0.7014983890612768,0.0130471951985435,-0.1176706402979141,"163702,57822"
85,chr1,24192500,24197500,chr1,24392500,24397500,shared,0.0611382021810494,0.0527261591732115,-0.2135552215121295,-0.2135552215121295,shared,200000,85,stable,stable,uncategorized,ctrl,8.548856,0.5650255,0.188543,0.035426855,0.4314,0.0736,0.6420280689803561,0.6550752641788997,0.819169029359191,0.7014983890612768,0.0130471951985435,-0.1176706402979141,57822
86,chr1,24200000,24205000,chr1,24320000,24325000,shared,0.025674751007917,0.030921132873913,0.268242891565297,0.268242891565297,shared,120000,86,stable,stable,intra-TAD,ctrl,11.159192,8.440072,0.188543,0.039919287,0.5075000000000001,0.0022,0.7228244614292967,0.8604069372883634,0.8674952810859909,0.9481439786088864,0.1375824758590667,0.0806486975228953,57822
87,chr1,24270000,24275000,chr1,24385000,24390000,shared,0.0228214417991357,0.0209454626706366,-0.1237521875316611,-0.1237521875316611,shared,115000,87,stable,stable,uncategorized,ctrl,1.044135,1.0241089,0.188543,0.03565287,0.4373,0.0481999999999999,0.9399862230243888,1.0904593981821862,0.819169029359191,0.7014983890612768,0.1504731751577974,-0.1176706402979141,57822
88,chr1,24320000,24325000,chr1,24380000,24385000,shared,0.0406876231268295,0.0396974040745715,-0.0355453355484454,-0.0355453355484454,shared,60000,88,stable,stable,intra-TAD,ctrl,6.493215,0.24719867,0.188543,0.031624094,0.4758,0.0656,0.8674952810859909,0.9481439786088864,0.819169029359191,0.7014983890612768,0.0806486975228953,-0.1176706402979141,57822
89,chr1,24852500,24857500,chr1,25212500,25217500,shared,0.0070254005593688,0.0073974995765037,0.0744572246264463,0.0744572246264463,shared,360000,89,stable,stable,uncategorized,ctrl,3.9155087,0.88285255,0.24680066,0.02671905,0.4638,0.0,0.7065375777233053,0.5726115313725382,0.7259459040877936,0.7393588155317422,-0.1339260463507671,0.0134129114439486,864
90,chr1,24852500,24857500,chr1,25102500,25107500,shared,0.0110263263488252,0.0110847744214783,0.0076272042575923,0.0076272042575923,shared,250000,90,stable,stable,intra-TAD,ctrl,2.9040008,0.74159586,0.188543,0.030929739,0.4972,0.0667999999999999,0.7065375777233053,0.5726115313725382,0.7194074721398831,0.7550258967346403,-0.1339260463507671,0.0356184245947571,864
91,chr1,25602500,25607500,chr1,25802500,25807500,shared,0.0161191319323395,0.0147063719659097,-0.1323326717849224,-0.1323326717849224,shared,200000,91,stable,stable,intra-TAD,ctrl,14.585265,2.5426166,0.21602124,0.047821138,0.4995,0.0222,0.7745260980122908,0.7923661763151335,0.6191597784238789,0.6678733790309658,0.0178400783028427,0.0487136006070868,57190
92,chr1,26100000,26105000,chr1,26150000,26155000,shared,0.0420192544410393,0.0421393676247559,0.0041181000330002,0.0041181000330002,shared,50000,92,stable,stable,intra-TAD,ctrl,12.855917,3.5784974,0.188543,0.046567902,0.4619999999999999,0.0299999999999999,0.7797329646120967,0.8665691959973193,0.7054754718618798,0.8428405643556562,0.0868362313852225,0.1373650924937764,149420
93,chr1,26272500,26277500,chr1,26392500,26397500,shared,0.0295025328012856,0.0259843389641487,-0.1831964579640197,-0.1831964579640197,shared,120000,93,stable,stable,intra-TAD,ctrl,3.7197323,0.18834175,0.3613023,0.035978377,0.4794,0.0008,0.8229469328142415,0.7710861561990429,0.7805647896747396,0.691868772172502,-0.0518607766151986,-0.0886960175022376,"55057,64793"
97,chr1,27045000,27050000,chr1,27095000,27100000,shared,0.0636717318083655,0.0524135967532867,-0.2807118908914195,-0.2807118908914195,shared,50000,97,stable,stable,intra-TAD,ctrl,0.26103398,7.6278477,0.1993884,0.02704326,0.5062,0.002,1.0174514129012484,0.7988658631331944,0.8261704186731188,0.7069563102120444,-0.218585549768054,-0.1192141084610743,6548
98,chr1,27045000,27050000,chr1,27285000,27290000,shared,0.0128791247120096,0.0249858114339114,0.9560745228035264,0.9560745228035264,shared,240000,98,stable,stable,intra-TAD,ctrl,2.0882711,0.18834177,0.19284436,0.035472687,0.5139,0.0173999999999999,1.0174514129012484,0.7988658631331944,0.6403334192185397,0.5152047588694348,-0.218585549768054,-0.1251286603491048,"23038,6548"
99,chr1,27102500,27107500,chr1,27282500,27287500,shared,0.0573756800181457,0.0662517254284013,0.2075186804261131,0.2075186804261131,shared,180000,99,stable,stable,inter-TAD,ctrl,2.904001,1.0241086,0.23015249,0.036675487,0.5012,0.0887999999999999,0.7359788589106834,0.7813499213209681,0.6403334192185397,0.5152047588694348,0.0453710624102847,-0.1251286603491048,"23038,6548"
100,chr1,27295000,27300000,chr1,27660000,27665000,shared,0.0131094304739227,0.0133854809742545,0.0300639691191987,0.0300639691191987,shared,365000,100,stable,stable,intra-TAD,ctrl,1.5662038,0.71805346,0.188543,0.046488374,0.5203,0.0045999999999999,0.6403334192185397,0.5152047588694348,0.7299038112578821,0.6566647169096879,-0.1251286603491048,-0.0732390943481942,"10163,2268,23038,388611,84958,8547"
101,chr1,28092500,28097500,chr1,28202500,28207500,shared,0.0249718075444434,0.0226001095471089,-0.1439704865444909,-0.1439704865444909,shared,110000,101,stable,stable,intra-TAD,ctrl,4.8617544,0.9181662,0.34742516,0.0421371,0.4188,0.0315999999999999,0.753782977649955,0.803991239969614,0.7761505868538648,0.705347358091713,0.0502082623196589,-0.0708032287621518,5724
102,chr1,28402500,28407500,chr1,28602500,28607500,shared,0.0229868516406324,0.0186462186084981,-0.3019257966851053,-0.3019257966851053,shared,200000,102,stable,stable,intra-TAD,ctrl,4.5680923,0.18834184,0.26276758,0.043009154,0.4303,0.0661999999999999,0.9232838941315192,0.774906168701161,0.6814535688007447,0.7439567910140753,-0.1483777254303581,0.0625032222133306,"115273,26768,8420,85028"
103,chr1,28515000,28520000,chr1,28600000,28605000,shared,0.0384851570788507,0.038787644283386,0.0112950226030027,0.0112950226030027,shared,85000,103,,stable,intra-TAD,ctrl,0.42417997,0.0941709,0.188543,0.025243927,0.5026999999999999,0.0574,,0.9959248719993478,0.6814535688007447,0.7439567910140753,,0.0625032222133306,"115273,85028"
104,chr1,28782500,28787500,chr1,29032500,29037500,shared,0.0116316159087821,0.0101780134775215,-0.1925955286567635,-0.1925955286567635,shared,250000,104,stable,stable,inter-TAD,ctrl,1.1420237,0.0,0.188543,0.025558278,0.4314,0.1059999999999999,0.7797357316997067,0.7089821916077076,0.6165733058137534,0.5782771724689446,-0.070753540091999,-0.0382961333448087,4985
105,chr1,28782500,28787500,chr1,28862500,28867500,shared,0.0264183711673098,0.0172406945506084,-0.6157236241865662,-0.6157236241865662,shared,80000,105,stable,stable,inter-TAD,ctrl,10.963422,0.1883419,0.21434362,0.050737686,0.518,0.0671999999999999,0.7797357316997067,0.7089821916077076,0.5750425438427217,0.518271408915969,-0.070753540091999,-0.0567711349267526,4985
106,chr1,28782500,28787500,chr1,29202500,29207500,shared,0.008441446053449,0.0131315592132049,0.6374761642772451,0.6374761642772451,shared,420000,106,stable,stable,inter-TAD,ctrl,2.8713725,0.18834175,0.18854302,0.04104873,0.4871999999999999,0.0055999999999999,0.7797357316997067,0.7089821916077076,0.5675540979975292,0.5132951266929194,-0.070753540091999,-0.0542589713046097,"4985,6429"
107,chr1,28785000,28790000,chr1,28875000,28880000,shared,0.0519974181945456,0.0384806323881067,-0.4343074830599691,-0.4343074830599691,shared,90000,107,stable,stable,intra-TAD,ctrl,22.840471,0.1883419,0.715611,0.049322847,0.4826,0.0055999999999999,0.7797357316997067,0.7089821916077076,0.5750425438427217,0.518271408915969,-0.070753540091999,-0.0567711349267526,4985
109,chr1,30725000,30730000,chr1,30775000,30780000,shared,0.0369429951138403,0.0318808111020948,-0.2126125016077705,-0.2126125016077705,shared,50000,109,stable,stable,intra-TAD,ctrl,5.677486,7.3100195,0.36725402,0.04363378,0.5326,0.0372,0.6079413066864466,0.5828388022994497,0.6414891520772071,0.6139165419817026,-0.0251025043869969,-0.0275726100955044,100129196
110,chr1,30795000,30800000,chr1,30915000,30920000,shared,0.0487185418737946,0.0367454070166584,-0.406907022715395,-0.406907022715395,shared,120000,110,stable,stable,intra-TAD,ctrl,0.42418024,0.51793975,0.188543,0.025932256,0.4991,0.0061999999999999,0.6414891520772071,0.6139165419817026,0.6898981405390198,0.7133220493634038,-0.0275726100955044,0.023423908824384,9672
111,chr1,31182500,31187500,chr1,31622500,31627500,shared,0.0092196363522073,0.0038424330213836,-1.2626897358399345,-1.2626897358399345,shared,440000,111,stable,stable,inter-TAD,ctrl,2.316676,3.2371266,0.1900635,0.039552353,0.5214,0.0423999999999999,0.5524151421366967,0.6515179928569378,0.8401227770785328,0.7034698825949717,0.099102850720241,-0.1366528944835611,"149086,284551,3061,79570"
112,chr1,31182500,31187500,chr1,31412500,31417500,shared,0.0126856003509997,0.0117368765302287,-0.11214327401777,-0.11214327401777,shared,230000,112,stable,stable,inter-TAD,ctrl,3.067148,0.0,0.21294269,0.04137729,0.5319,0.0634,0.5524151421366967,0.6515179928569378,0.7480108581027199,0.7460911772605097,0.099102850720241,-0.0019196808422102,79570
113,chr1,31185000,31190000,chr1,31550000,31555000,shared,0.0157473315788715,0.0127779128978288,-0.3014551708938957,-0.3014551708938957,shared,365000,113,stable,stable,intra-TAD,ctrl,6.3953304,0.47085464,0.20074284,0.045270957,0.4476,0.1271999999999999,0.5524151421366967,0.6515179928569378,0.83007693669174,0.8872974352855663,0.099102850720241,0.0572204985938262,"149086,284551,79570"
114,chr1,31185000,31190000,chr1,31335000,31340000,shared,0.0288845193145675,0.0169101497159913,-0.7724070532092893,-0.7724070532092893,shared,150000,114,stable,stable,intra-TAD,ctrl,15.20522,4.5672903,0.188543,0.06695901,0.4561,0.1101999999999999,0.5524151421366967,0.6515179928569378,0.8528987351460154,0.8391114568672852,0.099102850720241,-0.0137872782787302,79570
