genebody_chr	genebody_start	genebody_end	gene_id_x	score	strand	anchor_chr	anchor_start	anchor_end	genebody_anchor	deg_class	Unnamed: 0	chr1	start1	end1	chr2	start2	end2	status	ctrl_signal	rbp1_signal	log2FC	log2FC_clipped	condition	distance	loop_id	comp_switch_A1	comp_switch_A2	loop_class	source	CTCF_signal	H3K27me3_signal	H3K4me3_signal	rad21_signal	GC_mean	GC_diff	E1_anchor1_ctrl	E1_anchor1_rbp1	E1_anchor2_ctrl	E1_anchor2_rbp1	delta_E1_anchor1	delta_E1_anchor2	anchor_side	distal_chr	distal_start	distal_end	gene_id_y	gene_symbol
chr1	28369238	28467741	ENST00000463428.5	0	+	chr1	28412500	28417500	1	upregulated_a1	19134	chr1	28412500	28417500	chr1	28502500	28507500	gained		0.0254431350193003	14.634988825255803	5.0	Mutant loop	90000	19134	stable		intra-TAD	rbp1	7.896269	0.2707413	0.20088807	0.060306273	0.4354	0.0907999999999999	0.3062930742271253	0.2344166315686149	-0.6173021841257307	-0.5510952261846235	-0.0718764426585103	0.0662069579411072	left	chr1	28502500	28507500	ENST00000463428	PHACTR4
chr1	28369238	28467741	ENST00000463428.5	0	+	chr1	28405000	28410000	1	upregulated_a1	19133	chr1	28405000	28410000	chr1	28605000	28610000	gained	0.0229868516406324	0.0186462186084981	-0.3019257966851053	-0.3019257966851053	Mutant loop	200000	19133	stable	stable	intra-TAD	rbp1	18.63129	0.09417085	0.41396928	0.044630293	0.4313	0.0917999999999999	-0.0163187090149978	0.0254328950115635	-0.6173021841257307	-0.5510952261846235	0.0417516040265614	0.0662069579411072	left	chr1	28605000	28610000	ENST00000463428	PHACTR4
chr1	28369239	28500864	ENST00000373839.8	0	+	chr1	28402500	28407500	1	upregulated_a1	102	chr1	28402500	28407500	chr1	28602500	28607500	shared	0.0229868516406324	0.0186462186084981	-0.3019257966851053	-0.3019257966851053	shared	200000	102	stable	stable	intra-TAD	ctrl	4.5680923	0.18834184	0.26276758	0.043009154	0.4303	0.0661999999999999	0.9232838941315192	0.774906168701161	0.6814535688007447	0.7439567910140753	-0.1483777254303581	0.0625032222133306	left	chr1	28602500	28607500	ENST00000373839	PHACTR4
chr1	28369239	28500864	ENST00000373839.8	0	+	chr1	28412500	28417500	1	upregulated_a1	19134	chr1	28412500	28417500	chr1	28502500	28507500	gained		0.0254431350193003	14.634988825255803	5.0	Mutant loop	90000	19134	stable		intra-TAD	rbp1	7.896269	0.2707413	0.20088807	0.060306273	0.4354	0.0907999999999999	0.3062930742271253	0.2344166315686149	-0.6173021841257307	-0.5510952261846235	-0.0718764426585103	0.0662069579411072	left	chr1	28502500	28507500	ENST00000373839	PHACTR4
chr1	28369239	28500864	ENST00000373839.8	0	+	chr1	28405000	28410000	1	upregulated_a1	19133	chr1	28405000	28410000	chr1	28605000	28610000	gained	0.0229868516406324	0.0186462186084981	-0.3019257966851053	-0.3019257966851053	Mutant loop	200000	19133	stable	stable	intra-TAD	rbp1	18.63129	0.09417085	0.41396928	0.044630293	0.4313	0.0917999999999999	-0.0163187090149978	0.0254328950115635	-0.6173021841257307	-0.5510952261846235	0.0417516040265614	0.0662069579411072	left	chr1	28605000	28610000	ENST00000373839	PHACTR4
chr1	28369243	28497656	ENST00000493669.2	0	+	chr1	28402500	28407500	1	upregulated_a1	102	chr1	28402500	28407500	chr1	28602500	28607500	shared	0.0229868516406324	0.0186462186084981	-0.3019257966851053	-0.3019257966851053	shared	200000	102	stable	stable	intra-TAD	ctrl	4.5680923	0.18834184	0.26276758	0.043009154	0.4303	0.0661999999999999	0.9232838941315192	0.774906168701161	0.6814535688007447	0.7439567910140753	-0.1483777254303581	0.0625032222133306	left	chr1	28602500	28607500	ENST00000493669	PHACTR4
chr1	28369243	28497656	ENST00000493669.2	0	+	chr1	28412500	28417500	1	upregulated_a1	19134	chr1	28412500	28417500	chr1	28502500	28507500	gained		0.0254431350193003	14.634988825255803	5.0	Mutant loop	90000	19134	stable		intra-TAD	rbp1	7.896269	0.2707413	0.20088807	0.060306273	0.4354	0.0907999999999999	0.3062930742271253	0.2344166315686149	-0.6173021841257307	-0.5510952261846235	-0.0718764426585103	0.0662069579411072	left	chr1	28502500	28507500	ENST00000493669	PHACTR4
chr1	28369243	28497656	ENST00000493669.2	0	+	chr1	28405000	28410000	1	upregulated_a1	19133	chr1	28405000	28410000	chr1	28605000	28610000	gained	0.0229868516406324	0.0186462186084981	-0.3019257966851053	-0.3019257966851053	Mutant loop	200000	19133	stable	stable	intra-TAD	rbp1	18.63129	0.09417085	0.41396928	0.044630293	0.4313	0.0917999999999999	-0.0163187090149978	0.0254328950115635	-0.6173021841257307	-0.5510952261846235	0.0417516040265614	0.0662069579411072	left	chr1	28605000	28610000	ENST00000493669	PHACTR4
chr1	37691980	37710213	ENST00000327331.2	0	+	chr1	37692500	37697500	1	upregulated_a1	7576	chr1	37692500	37697500	chr1	37792500	37797500	lost	0.0162813419381346	0.0133379834233651	-0.2876790528843983	-0.2876790528843983	Control loop	100000	7576	stable	stable	intra-TAD	ctrl	20.099613	3.5549529	0.2503071	0.033508014	0.5114000000000001	0.1276	0.7287144826552947	0.6465193475258039	0.605348328036697	0.7012191040834046	-0.0821951351294908	0.0958707760467075	left	chr1	37792500	37797500	ENST00000327331	CDCA8
chr1	37691980	37710213	ENST00000327331.2	0	+	chr1	37695000	37700000	1	upregulated_a1	19164	chr1	37695000	37700000	chr1	37860000	37865000	gained	0.0057841687868148	0.0131971129774986	1.1900408006736936	1.1900408006736936	Mutant loop	165000	19164	stable	stable	intra-TAD	rbp1	3.6544743	0.0	0.19763517	0.044684753	0.4512	0.0691999999999999	-0.200419452485673	-0.1557300946694215	0.0727217260136948	0.0418978974179718	0.0446893578162515	-0.0308238285957229	left	chr1	37860000	37865000	ENST00000327331	CDCA8
chr1	37692015	37710219	ENST00000373055.6	0	+	chr1	37692500	37697500	1	upregulated_a1	7576	chr1	37692500	37697500	chr1	37792500	37797500	lost	0.0162813419381346	0.0133379834233651	-0.2876790528843983	-0.2876790528843983	Control loop	100000	7576	stable	stable	intra-TAD	ctrl	20.099613	3.5549529	0.2503071	0.033508014	0.5114000000000001	0.1276	0.7287144826552947	0.6465193475258039	0.605348328036697	0.7012191040834046	-0.0821951351294908	0.0958707760467075	left	chr1	37792500	37797500	ENST00000373055	CDCA8
chr1	37692015	37710219	ENST00000373055.6	0	+	chr1	37695000	37700000	1	upregulated_a1	19164	chr1	37695000	37700000	chr1	37860000	37865000	gained	0.0057841687868148	0.0131971129774986	1.1900408006736936	1.1900408006736936	Mutant loop	165000	19164	stable	stable	intra-TAD	rbp1	3.6544743	0.0	0.19763517	0.044684753	0.4512	0.0691999999999999	-0.200419452485673	-0.1557300946694215	0.0727217260136948	0.0418978974179718	0.0446893578162515	-0.0308238285957229	left	chr1	37860000	37865000	ENST00000373055	CDCA8
chr1	43524686	43554019	ENST00000496043.5	0	+	chr1	43525000	43530000	1	upregulated_a1	154	chr1	43525000	43530000	chr1	43930000	43935000	shared	0.0124144966240663	0.0144906038177603	0.2230919475577673	0.2230919475577673	shared	405000	154	stable	stable	intra-TAD	ctrl	2.871373	0.6474254	0.19032171	0.04691621	0.5498000000000001	0.0819999999999999	0.6540040917416834	0.6267094808799777	0.7163027195040411	0.7313121754158787	-0.0272946108617057	0.0150094559118375	left	chr1	43930000	43935000	ENST00000496043	PTPRF
chr1	43524686	43554019	ENST00000496043.5	0	+	chr1	43525000	43530000	1	upregulated_a1	7596	chr1	43525000	43530000	chr1	43620000	43625000	lost	0.0173451261246845	0.0133874939600751	-0.3736444070992532	-0.3736444070992532	Control loop	95000	7596	stable	stable	intra-TAD	ctrl	0.45680946	3.5314097	0.188543	0.024228102	0.5249	0.0322	0.1052479632918919	0.1662353415259239	0.2763104123989929	0.298747018870125	0.060987378234032	0.0224366064711321	left	chr1	43620000	43625000	ENST00000496043	PTPRF
chr1	43524686	43554019	ENST00000496043.5	0	+	chr1	43525000	43530000	1	upregulated_a1	7597	chr1	43525000	43530000	chr1	43640000	43645000	lost	0.0176370977494935	0.0141948224039254	-0.3132483804075113	-0.3132483804075113	Control loop	115000	7597	stable	stable	intra-TAD	ctrl	0.26103398	0.55325437	0.19966823	0.025384527	0.4805	0.0566	0.3174385780011517	0.3897549988450848	0.1703477015254819	0.2597219881205761	0.072316420843933	0.0893742865950941	left	chr1	43640000	43645000	ENST00000496043	PTPRF
chr1	43524686	43554019	ENST00000496043.5	0	+	chr1	43532500	43537500	1	upregulated_a1	27943	chr1	43532500	43537500	chr1	43932500	43937500	gained	0.0082943451012421	0.0085523389088815	0.0441909503383201	0.0441909503383201	Mutant loop	400000	27943	stable	stable	inter-TAD	rbp1	0.52206796	2.23656	0.188543	0.022824882	0.5703	0.1006	0.6804850914723749	0.6932148577949216	0.5295661956484957	0.5774372710775664	0.0127297663225467	0.0478710754290706	left	chr1	43932500	43937500	ENST00000496043	PTPRF
chr1	43528061	43554039	ENST00000481019.5	0	+	chr1	43525000	43530000	1	upregulated_a1	154	chr1	43525000	43530000	chr1	43930000	43935000	shared	0.0124144966240663	0.0144906038177603	0.2230919475577673	0.2230919475577673	shared	405000	154	stable	stable	intra-TAD	ctrl	2.871373	0.6474254	0.19032171	0.04691621	0.5498000000000001	0.0819999999999999	0.6540040917416834	0.6267094808799777	0.7163027195040411	0.7313121754158787	-0.0272946108617057	0.0150094559118375	left	chr1	43930000	43935000	ENST00000481019	PTPRF
chr1	43528061	43554039	ENST00000481019.5	0	+	chr1	43525000	43530000	1	upregulated_a1	7596	chr1	43525000	43530000	chr1	43620000	43625000	lost	0.0173451261246845	0.0133874939600751	-0.3736444070992532	-0.3736444070992532	Control loop	95000	7596	stable	stable	intra-TAD	ctrl	0.45680946	3.5314097	0.188543	0.024228102	0.5249	0.0322	0.1052479632918919	0.1662353415259239	0.2763104123989929	0.298747018870125	0.060987378234032	0.0224366064711321	left	chr1	43620000	43625000	ENST00000481019	PTPRF
chr1	43528061	43554039	ENST00000481019.5	0	+	chr1	43525000	43530000	1	upregulated_a1	7597	chr1	43525000	43530000	chr1	43640000	43645000	lost	0.0176370977494935	0.0141948224039254	-0.3132483804075113	-0.3132483804075113	Control loop	115000	7597	stable	stable	intra-TAD	ctrl	0.26103398	0.55325437	0.19966823	0.025384527	0.4805	0.0566	0.3174385780011517	0.3897549988450848	0.1703477015254819	0.2597219881205761	0.072316420843933	0.0893742865950941	left	chr1	43640000	43645000	ENST00000481019	PTPRF
chr1	43528061	43554039	ENST00000481019.5	0	+	chr1	43532500	43537500	1	upregulated_a1	27943	chr1	43532500	43537500	chr1	43932500	43937500	gained	0.0082943451012421	0.0085523389088815	0.0441909503383201	0.0441909503383201	Mutant loop	400000	27943	stable	stable	inter-TAD	rbp1	0.52206796	2.23656	0.188543	0.022824882	0.5703	0.1006	0.6804850914723749	0.6932148577949216	0.5295661956484957	0.5774372710775664	0.0127297663225467	0.0478710754290706	left	chr1	43932500	43937500	ENST00000481019	PTPRF
chr1	43530375	43579785	ENST00000617451.4	0	+	chr1	43532500	43537500	1	upregulated_a1	27943	chr1	43532500	43537500	chr1	43932500	43937500	gained	0.0082943451012421	0.0085523389088815	0.0441909503383201	0.0441909503383201	Mutant loop	400000	27943	stable	stable	inter-TAD	rbp1	0.52206796	2.23656	0.188543	0.022824882	0.5703	0.1006	0.6804850914723749	0.6932148577949216	0.5295661956484957	0.5774372710775664	0.0127297663225467	0.0478710754290706	left	chr1	43932500	43937500	ENST00000617451	PTPRF
chr1	43530382	43624166	ENST00000359947.9	0	+	chr1	43532500	43537500	1	upregulated_a1	27943	chr1	43532500	43537500	chr1	43932500	43937500	gained	0.0082943451012421	0.0085523389088815	0.0441909503383201	0.0441909503383201	Mutant loop	400000	27943	stable	stable	inter-TAD	rbp1	0.52206796	2.23656	0.188543	0.022824882	0.5703	0.1006	0.6804850914723749	0.6932148577949216	0.5295661956484957	0.5774372710775664	0.0127297663225467	0.0478710754290706	left	chr1	43932500	43937500	ENST00000359947	PTPRF
chr1	43530389	43622857	ENST00000438120.5	0	+	chr1	43532500	43537500	1	upregulated_a1	27943	chr1	43532500	43537500	chr1	43932500	43937500	gained	0.0082943451012421	0.0085523389088815	0.0441909503383201	0.0441909503383201	Mutant loop	400000	27943	stable	stable	inter-TAD	rbp1	0.52206796	2.23656	0.188543	0.022824882	0.5703	0.1006	0.6804850914723749	0.6932148577949216	0.5295661956484957	0.5774372710775664	0.0127297663225467	0.0478710754290706	left	chr1	43932500	43937500	ENST00000438120	PTPRF
chr1	43530402	43580578	ENST00000436724.5	0	+	chr1	43532500	43537500	1	upregulated_a1	27943	chr1	43532500	43537500	chr1	43932500	43937500	gained	0.0082943451012421	0.0085523389088815	0.0441909503383201	0.0441909503383201	Mutant loop	400000	27943	stable	stable	inter-TAD	rbp1	0.52206796	2.23656	0.188543	0.022824882	0.5703	0.1006	0.6804850914723749	0.6932148577949216	0.5295661956484957	0.5774372710775664	0.0127297663225467	0.0478710754290706	left	chr1	43932500	43937500	ENST00000436724	PTPRF
chr1	55038955	55065352	ENST00000710286.1	0	+	chr1	55065000	55070000	1	upregulated_a1	7635	chr1	55065000	55070000	chr1	55275000	55280000	lost	0.0070192590373633	0.005512998578454	-0.348481516269809	-0.348481516269809	Control loop	210000	7635	stable	stable	uncategorized	ctrl	1.3051699	0.9770228	0.188543	0.032792687	0.4432	0.0035999999999999	0.7208470111109901	0.8454202459589344	0.8372463339888514	0.7505067687809301	0.1245732348479442	-0.0867395652079212	left	chr1	55275000	55280000	ENST00000710286	PCSK9
chr1	55038961	55065352	ENST00000673913.2	0	+	chr1	55065000	55070000	1	upregulated_a1	7635	chr1	55065000	55070000	chr1	55275000	55280000	lost	0.0070192590373633	0.005512998578454	-0.348481516269809	-0.348481516269809	Control loop	210000	7635	stable	stable	uncategorized	ctrl	1.3051699	0.9770228	0.188543	0.032792687	0.4432	0.0035999999999999	0.7208470111109901	0.8454202459589344	0.8372463339888514	0.7505067687809301	0.1245732348479442	-0.0867395652079212	left	chr1	55275000	55280000	ENST00000673913	PCSK9
chr1	55039047	55065352	ENST00000302118.5	0	+	chr1	55065000	55070000	1	upregulated_a1	7635	chr1	55065000	55070000	chr1	55275000	55280000	lost	0.0070192590373633	0.005512998578454	-0.348481516269809	-0.348481516269809	Control loop	210000	7635	stable	stable	uncategorized	ctrl	1.3051699	0.9770228	0.188543	0.032792687	0.4432	0.0035999999999999	0.7208470111109901	0.8454202459589344	0.8372463339888514	0.7505067687809301	0.1245732348479442	-0.0867395652079212	left	chr1	55275000	55280000	ENST00000302118	PCSK9
chr1	55039794	55065297	ENST00000673903.1	0	+	chr1	55065000	55070000	1	upregulated_a1	7635	chr1	55065000	55070000	chr1	55275000	55280000	lost	0.0070192590373633	0.005512998578454	-0.348481516269809	-0.348481516269809	Control loop	210000	7635	stable	stable	uncategorized	ctrl	1.3051699	0.9770228	0.188543	0.032792687	0.4432	0.0035999999999999	0.7208470111109901	0.8454202459589344	0.8372463339888514	0.7505067687809301	0.1245732348479442	-0.0867395652079212	left	chr1	55275000	55280000	ENST00000673903	PCSK9
chr1	55050433	55065350	ENST00000490692.1	0	+	chr1	55065000	55070000	1	upregulated_a1	7635	chr1	55065000	55070000	chr1	55275000	55280000	lost	0.0070192590373633	0.005512998578454	-0.348481516269809	-0.348481516269809	Control loop	210000	7635	stable	stable	uncategorized	ctrl	1.3051699	0.9770228	0.188543	0.032792687	0.4432	0.0035999999999999	0.7208470111109901	0.8454202459589344	0.8372463339888514	0.7505067687809301	0.1245732348479442	-0.0867395652079212	left	chr1	55275000	55280000	ENST00000490692	PCSK9
chr1	151070077	151098415	ENST00000462520.5	0	+	chr1	151095000	151100000	1	upregulated_a1	7810	chr1	151095000	151100000	chr1	151155000	151160000	lost	0.033348589568875	0.0249236461531398	-0.4201106060857149	-0.4201106060857149	Control loop	60000	7810	stable	stable	intra-TAD	ctrl	10.50661	0.09417095	0.46092308	0.027543133	0.4553	0.0761999999999999	0.9871763683376086	0.9209644382211534	0.8781221852520723	0.8930600425783412	-0.0662119301164552	0.0149378573262688	left	chr1	151155000	151160000	ENST00000462520	GABPB2
chr1	151070260	151126042	ENST00000368918.8	0	+	chr1	151095000	151100000	1	upregulated_a1	7810	chr1	151095000	151100000	chr1	151155000	151160000	lost	0.033348589568875	0.0249236461531398	-0.4201106060857149	-0.4201106060857149	Control loop	60000	7810	stable	stable	intra-TAD	ctrl	10.50661	0.09417095	0.46092308	0.027543133	0.4553	0.0761999999999999	0.9871763683376086	0.9209644382211534	0.8781221852520723	0.8930600425783412	-0.0662119301164552	0.0149378573262688	left	chr1	151155000	151160000	ENST00000368918	GABPB2
chr1	151070276	151107677	ENST00000489549.5	0	+	chr1	151095000	151100000	1	upregulated_a1	7810	chr1	151095000	151100000	chr1	151155000	151160000	lost	0.033348589568875	0.0249236461531398	-0.4201106060857149	-0.4201106060857149	Control loop	60000	7810	stable	stable	intra-TAD	ctrl	10.50661	0.09417095	0.46092308	0.027543133	0.4553	0.0761999999999999	0.9871763683376086	0.9209644382211534	0.8781221852520723	0.8930600425783412	-0.0662119301164552	0.0149378573262688	left	chr1	151155000	151160000	ENST00000489549	GABPB2
chr1	151070303	151098502	ENST00000486076.5	0	+	chr1	151095000	151100000	1	upregulated_a1	7810	chr1	151095000	151100000	chr1	151155000	151160000	lost	0.033348589568875	0.0249236461531398	-0.4201106060857149	-0.4201106060857149	Control loop	60000	7810	stable	stable	intra-TAD	ctrl	10.50661	0.09417095	0.46092308	0.027543133	0.4553	0.0761999999999999	0.9871763683376086	0.9209644382211534	0.8781221852520723	0.8930600425783412	-0.0662119301164552	0.0149378573262688	left	chr1	151155000	151160000	ENST00000486076	GABPB2
chr1	151087657	151119171	ENST00000368916.1	0	+	chr1	151095000	151100000	1	upregulated_a1	7810	chr1	151095000	151100000	chr1	151155000	151160000	lost	0.033348589568875	0.0249236461531398	-0.4201106060857149	-0.4201106060857149	Control loop	60000	7810	stable	stable	intra-TAD	ctrl	10.50661	0.09417095	0.46092308	0.027543133	0.4553	0.0761999999999999	0.9871763683376086	0.9209644382211534	0.8781221852520723	0.8930600425783412	-0.0662119301164552	0.0149378573262688	left	chr1	151155000	151160000	ENST00000368916	GABPB2
chr1	151092745	151118995	ENST00000467551.1	0	+	chr1	151095000	151100000	1	upregulated_a1	7810	chr1	151095000	151100000	chr1	151155000	151160000	lost	0.033348589568875	0.0249236461531398	-0.4201106060857149	-0.4201106060857149	Control loop	60000	7810	stable	stable	intra-TAD	ctrl	10.50661	0.09417095	0.46092308	0.027543133	0.4553	0.0761999999999999	0.9871763683376086	0.9209644382211534	0.8781221852520723	0.8930600425783412	-0.0662119301164552	0.0149378573262688	left	chr1	151155000	151160000	ENST00000467551	GABPB2
chr1	154404692	154438584	ENST00000622330.5	0	+	chr1	154405000	154410000	1	upregulated_a1	7825	chr1	154405000	154410000	chr1	154470000	154475000	lost	0.0318940377114954	0.0251349251475427	-0.3435933583550257	-0.3435933583550257	Control loop	65000	7825	stable	stable	intra-TAD	ctrl	0.7504719	9.146354	0.21220188	0.024713397	0.5193	0.0429999999999999	0.3306968642286374	0.4651755199774865	0.7040924404486532	0.7287459106486914	0.1344786557488491	0.0246534702000382	left	chr1	154470000	154475000	ENST00000622330	IL6R
chr1	154404722	154467377	ENST00000344086.8	0	+	chr1	154405000	154410000	1	upregulated_a1	7825	chr1	154405000	154410000	chr1	154470000	154475000	lost	0.0318940377114954	0.0251349251475427	-0.3435933583550257	-0.3435933583550257	Control loop	65000	7825	stable	stable	intra-TAD	ctrl	0.7504719	9.146354	0.21220188	0.024713397	0.5193	0.0429999999999999	0.3306968642286374	0.4651755199774865	0.7040924404486532	0.7287459106486914	0.1344786557488491	0.0246534702000382	left	chr1	154470000	154475000	ENST00000344086	IL6R
