gene_id	gene_name	gene_type	chr	start	end	strand
ENSG00000163932	PRKCD	protein_coding	chr3	53156009	53192717	+
ENSG00000144730	IL17RD	protein_coding	chr3	57089982	57170306	-
ENSG00000173702	MUC13	protein_coding	chr3	124905442	124953819	-
ENSG00000239921	LINC01471	lncRNA	chr3	127480690	127537817	-
ENSG00000243629	LINC00880	lncRNA	chr3	157074061	157128595	-
ENSG00000078081	LAMP3	protein_coding	chr3	183122215	183163839	-
ENSG00000013288	MAN2B2	protein_coding	chr4	6575189	6623362	+
ENSG00000047662	FAM184B	protein_coding	chr4	17629306	17781621	-
ENSG00000169116	PARM1	protein_coding	chr4	74933095	75050115	+
ENSG00000109534	GAR1	protein_coding	chr4	109815510	109824740	+
ENSG00000145362	ANK2	protein_coding	chr4	112818032	113384221	+
ENSG00000168412	MTNR1A	protein_coding	chr4	186526792	186555567	-
ENSG00000181104	F2R	protein_coding	chr5	76716126	76735770	+
ENSG00000120708	TGFBI	protein_coding	chr5	136028988	136063818	+
ENSG00000112984	KIF20A	protein_coding	chr5	138178719	138187723	+
ENSG00000120738	EGR1	protein_coding	chr5	138465479	138469303	+
ENSG00000156453	PCDH1	protein_coding	chr5	141853090	141879246	-
ENSG00000171992	SYNPO	protein_coding	chr5	150601080	150659207	+
ENSG00000174705	SH3PXD2B	protein_coding	chr5	172325000	172454525	-
ENSG00000204642	HLA-F	protein_coding	chr6	29722775	29738528	+
ENSG00000204569	PPP1R10	protein_coding	chr6	30600413	30618612	-
ENSG00000196230	TUBB	protein_coding	chr6	30717435	30725538	+
ENSG00000204525	HLA-C	protein_coding	chr6	31268749	31272130	-
ENSG00000234745	HLA-B	protein_coding	chr6	31353872	31367067	-
ENSG00000237649	KIFC1	protein_coding	chr6	33391823	33409896	+
ENSG00000112655	PTK7	protein_coding	chr6	43076307	43161719	+
ENSG00000197594	ENPP1	protein_coding	chr6	131808016	131895155	+
ENSG00000118523	CCN2	protein_coding	chr6	131948176	131951372	-
ENSG00000146411	SLC2A12	protein_coding	chr6	133987581	134052624	-
ENSG00000111981	ULBP1	protein_coding	chr6	149963943	149973715	+
ENSG00000136274	NACAD	protein_coding	chr7	45080437	45088969	-
ENSG00000146648	EGFR	protein_coding	chr7	55019017	55211628	+
ENSG00000106665	CLIP2	protein_coding	chr7	74289407	74405935	+
ENSG00000127946	HIP1	protein_coding	chr7	75533298	75738962	-
ENSG00000127948	POR	protein_coding	chr7	75899200	75986855	+
ENSG00000106211	HSPB1	protein_coding	chr7	76302673	76305813	+
ENSG00000106236	NPTX2	protein_coding	chr7	98617285	98629869	+
ENSG00000158623	COPG2	protein_coding	chr7	130506238	130668748	-
ENSG00000128567	PODXL	protein_coding	chr7	131500262	131558217	-
ENSG00000155660	PDIA4	protein_coding	chr7	149003062	149028662	-
ENSG00000196453	ZNF777	protein_coding	chr7	149431363	149461062	-
ENSG00000120885	CLU	protein_coding	chr8	27596917	27614700	-
ENSG00000136999	CCN3	protein_coding	chr8	119416446	119424434	+
ENSG00000178764	ZHX2	protein_coding	chr8	122781655	122974510	+
ENSG00000147852	VLDLR	protein_coding	chr9	2621182	2660056	+
ENSG00000172159	FRMD3	protein_coding	chr9	83242990	83538546	-
ENSG00000119508	NR4A3	protein_coding	chr9	99821855	99866891	+
ENSG00000148143	ZNF462	protein_coding	chr9	106863166	107013634	+
ENSG00000157654	PALM2AKAP2	protein_coding	chr9	109498325	110172512	+
ENSG00000041982	TNC	protein_coding	chr9	115019575	115118207	-
ENSG00000044574	HSPA5	protein_coding	chr9	125234853	125241382	-
ENSG00000148400	NOTCH1	protein_coding	chr9	136494433	136546048	-
ENSG00000188229	TUBB4B	protein_coding	chr9	137241287	137243707	+
ENSG00000196139	AKR1C3	protein_coding	chr10	5035354	5107686	+
ENSG00000148468	FAM171A1	protein_coding	chr10	15211643	15371289	-
ENSG00000096746	HNRNPH3	protein_coding	chr10	68331174	68343193	+
ENSG00000156515	HK1	protein_coding	chr10	69269984	69401884	+
ENSG00000197467	COL13A1	protein_coding	chr10	69801880	69964275	+
ENSG00000197746	PSAP	protein_coding	chr10	71816298	71851251	-
ENSG00000120053	GOT1	protein_coding	chr10	99396870	99430624	-
ENSG00000099194	SCD	protein_coding	chr10	100347233	100364826	+
ENSG00000148841	ITPRIP	protein_coding	chr10	104309698	104338465	-
ENSG00000151929	BAG3	protein_coding	chr10	119651380	119677819	+
ENSG00000273599	ENSG00000273599	lncRNA	chr10	124996064	125001491	+
ENSG00000148773	MKI67	protein_coding	chr10	128096659	128126423	-
ENSG00000053918	KCNQ1	protein_coding	chr11	2444654	2849105	+
ENSG00000026508	CD44	protein_coding	chr11	35138882	35232402	+
ENSG00000110104	CCDC86	protein_coding	chr11	60842113	60851081	+
ENSG00000011347	SYT7	protein_coding	chr11	61513714	61581148	-
ENSG00000149503	INCENP	protein_coding	chr11	62123998	62155474	+
ENSG00000089597	GANAB	protein_coding	chr11	62624826	62646726	-
ENSG00000175592	FOSL1	protein_coding	chr11	65892049	65900573	-
ENSG00000149260	CAPN5	protein_coding	chr11	77066961	77126155	+
ENSG00000149212	SESN3	protein_coding	chr11	95165513	95232541	-
ENSG00000149428	HYOU1	protein_coding	chr11	119044188	119057227	-
ENSG00000110400	NECTIN1	protein_coding	chr11	119623408	119729200	-
ENSG00000110013	SIAE	protein_coding	chr11	124633113	124695707	-
ENSG00000134954	ETS1	protein_coding	chr11	128458761	128587558	-
ENSG00000084234	APLP2	protein_coding	chr11	130068147	130144811	+
ENSG00000010292	NCAPD2	protein_coding	chr12	6493356	6531955	+
ENSG00000181418	DDN	protein_coding	chr12	48995149	48999375	-
ENSG00000167553	TUBA1C	protein_coding	chr12	49188736	49274600	+
ENSG00000185432	TMT1A	protein_coding	chr12	50923472	50932510	+
ENSG00000179520	SLC17A8	protein_coding	chr12	100357074	100422055	+
ENSG00000171310	CHST11	protein_coding	chr12	104455295	104762014	+
ENSG00000136026	CKAP4	protein_coding	chr12	106237881	106304279	-
ENSG00000110876	SELPLG	protein_coding	chr12	108620413	108633894	-
ENSG00000111275	ALDH2	protein_coding	chr12	111766887	111817532	+
ENSG00000135119	RNFT2	protein_coding	chr12	116738178	116853631	+
ENSG00000139514	SLC7A1	protein_coding	chr13	29509414	29595688	-
ENSG00000153531	ADPRHL1	protein_coding	chr13	113399611	113453488	-
ENSG00000198824	CHAMP1	protein_coding	chr13	114314482	114337626	+
ENSG00000100889	PCK2	protein_coding	chr14	24094053	24110598	+
ENSG00000100600	LGMN	protein_coding	chr14	92703807	92748679	-
ENSG00000128965	CHAC1	protein_coding	chr15	40952962	40956512	+
ENSG00000184716	SERINC4	protein_coding	chr15	43794162	43800220	-
ENSG00000067141	NEO1	protein_coding	chr15	73051710	73305205	+
ENSG00000138623	SEMA7A	protein_coding	chr15	74409289	74433958	-
ENSG00000179151	EDC3	protein_coding	chr15	74630558	74696292	-
ENSG00000167173	C15orf39	protein_coding	chr15	75195643	75212169	+
ENSG00000103888	CEMIP	protein_coding	chr15	80779343	80951776	+
ENSG00000140443	IGF1R	protein_coding	chr15	98648539	98964530	+
ENSG00000167972	ABCA3	protein_coding	chr16	2275881	2340746	-
ENSG00000005339	CREBBP	protein_coding	chr16	3725054	3880713	-
ENSG00000103512	NOMO1	protein_coding	chr16	14833721	14896157	+
ENSG00000103226	NOMO3	protein_coding	chr16	16232506	16300806	+
ENSG00000166851	PLK1	protein_coding	chr16	23677656	23690367	+
ENSG00000184110	EIF3C	protein_coding	chr16	28688558	28735727	+
ENSG00000174938	SEZ6L2	protein_coding	chr16	29871159	29899550	-
ENSG00000261359	PYCARD-AS1	lncRNA	chr16	31201486	31203452	+
ENSG00000062038	CDH3	protein_coding	chr16	68636189	68727468	+
ENSG00000141101	NOB1	protein_coding	chr16	69741871	69754926	-
ENSG00000103089	FA2H	protein_coding	chr16	74712955	74774831	-
ENSG00000126368	NR1D1	protein_coding	chr17	40092793	40100589	-
ENSG00000279806	ENSG00000279806	TEC	chr17	40473554	40475289	-
ENSG00000131746	TNS4	protein_coding	chr17	40475828	40501623	-
ENSG00000173801	JUP	protein_coding	chr17	41754604	41786931	-
ENSG00000108828	VAT1	protein_coding	chr17	43014607	43025123	-
ENSG00000030582	GRN	protein_coding	chr17	44345246	44353106	+
ENSG00000186834	HEXIM1	protein_coding	chr17	45148475	45152099	+
ENSG00000189120	SP6	protein_coding	chr17	47844908	47855874	-
ENSG00000121064	SCPEP1	protein_coding	chr17	56978129	57006768	+
ENSG00000068489	PRR11	protein_coding	chr17	59155732	59206709	+
ENSG00000132471	WBP2	protein_coding	chr17	75845699	75856507	-
ENSG00000184640	SEPTIN9	protein_coding	chr17	77280569	77500596	+
ENSG00000108679	LGALS3BP	protein_coding	chr17	78971238	78979947	-
ENSG00000167291	TBC1D16	protein_coding	chr17	79932343	80035872	-
ENSG00000171298	GAA	protein_coding	chr17	80101533	80119881	+
ENSG00000141574	SECTM1	protein_coding	chr17	82321024	82334074	-
ENSG00000172081	MOB3A	protein_coding	chr19	2071036	2096673	-
ENSG00000127666	TICAM1	protein_coding	chr19	4815932	4831712	-
ENSG00000171105	INSR	protein_coding	chr19	7112255	7294414	-
ENSG00000167772	ANGPTL4	protein_coding	chr19	8363289	8374370	+
ENSG00000130164	LDLR	protein_coding	chr19	11089418	11133820	+
ENSG00000130175	PRKCSH	protein_coding	chr19	11435284	11450968	+
ENSG00000105612	DNASE2	protein_coding	chr19	12875209	12881595	-
ENSG00000123146	ADGRE5	protein_coding	chr19	14380501	14408725	+
ENSG00000099797	TECR	protein_coding	chr19	14517085	14565980	+
ENSG00000085872	CHERP	protein_coding	chr19	16517894	16542437	-
ENSG00000130479	MAP1S	protein_coding	chr19	17719242	17734513	+
ENSG00000105699	LSR	protein_coding	chr19	35248330	35267964	+
ENSG00000167600	CYP2S1	protein_coding	chr19	41193210	41207539	+
ENSG00000105329	TGFB1	protein_coding	chr19	41301587	41353922	-
ENSG00000105388	CEACAM5	protein_coding	chr19	41708585	41730433	+
ENSG00000105767	CADM4	protein_coding	chr19	43622368	43639850	-
ENSG00000186567	CEACAM19	protein_coding	chr19	44662278	44684359	+
ENSG00000130202	NECTIN2	protein_coding	chr19	44846175	44889223	+
ENSG00000104853	CLPTM1	protein_coding	chr19	44954585	44993341	+
ENSG00000105281	SLC1A5	protein_coding	chr19	46774883	46788594	-
ENSG00000130749	ZC3H4	protein_coding	chr19	47064187	47113776	-
ENSG00000104805	NUCB1	protein_coding	chr19	48900050	48923473	+
ENSG00000179820	MYADM	protein_coding	chr19	53864763	53878125	+
ENSG00000088038	CNOT3	protein_coding	chr19	54137749	54155681	+
ENSG00000167608	TMC4	protein_coding	chr19	54160108	54173250	-
ENSG00000125505	MBOAT7	protein_coding	chr19	54173412	54189882	-
ENSG00000088325	TPX2	protein_coding	chr20	31739271	31801805	+
ENSG00000149596	JPH2	protein_coding	chr20	44106590	44187188	-
ENSG00000142192	APP	protein_coding	chr21	25880535	26171128	-
ENSG00000156304	SCAF4	protein_coding	chr21	31671000	31732118	-
ENSG00000182240	BACE2	protein_coding	chr21	41167801	41282530	+
ENSG00000160191	PDE9A	protein_coding	chr21	42653621	42775509	+
ENSG00000183762	KREMEN1	protein_coding	chr22	29073035	29168333	+
ENSG00000099995	SF3A1	protein_coding	chr22	30331988	30356919	-
ENSG00000183963	SMTN	protein_coding	chr22	31064105	31104757	+
ENSG00000100234	TIMP3	protein_coding	chr22	32801705	32863041	+
ENSG00000278948	ENSG00000278948	TEC	chr22	37943050	37944898	+
ENSG00000100242	SUN2	protein_coding	chr22	38733290	38794143	-
ENSG00000221890	NPTXR	protein_coding	chr22	38818452	38844028	-
ENSG00000179750	APOBEC3B	protein_coding	chr22	38982347	38992804	+
ENSG00000128394	APOBEC3F	protein_coding	chr22	39040604	39055972	+
ENSG00000075218	GTSE1	protein_coding	chr22	46296870	46330810	+
ENSG00000101955	SRPX	protein_coding	chrX	38149336	38220924	-
ENSG00000179222	MAGED1	protein_coding	chrX	51803007	51902354	+
ENSG00000147100	SLC16A2	protein_coding	chrX	74421493	74533917	+
ENSG00000196440	ARMCX4	protein_coding	chrX	101418287	101533459	+
ENSG00000126016	AMOT	protein_coding	chrX	112774503	112840831	-
ENSG00000129675	ARHGEF6	protein_coding	chrX	136665547	136780932	-
ENSG00000147383	NSDHL	protein_coding	chrX	152830967	152869729	+
ENSG00000147394	ZNF185	protein_coding	chrX	152898067	152973481	+
