chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr11	120335000	120340000	chr11	120430000	120435000	0,0,0	4.615905	0.994527	2.1525853	2.5496798	3.0681973	2.9420812	1.0058284	5.2084627
chr11	69690000	69695000	chr11	69840000	69845000	0,0,0	5.37115	1.0	2.3026419	2.9892612	3.0414493	2.4244814	1.252331	5.0816026
chr11	32320000	32325000	chr11	32790000	32795000	0,0,0	10.201256	1.0	3.733419	4.240501	5.841856	4.2678246	1.9276652	8.037159
chr11	4220000	4225000	chr11	4315000	4320000	0,0,0	11.453207	1.0	2.915671	6.776966	8.03205	3.7813313	3.268421	9.805301
chr11	8225000	8230000	chr11	8565000	8570000	0,0,0	6.1844125	0.9997092	3.045188	3.096731	4.91069	5.3911123	1.9898297	8.143762
chr11	95150000	95155000	chr11	95705000	95710000	0,0,0	7.6965256	0.9999961	3.3199346	5.427745	8.360247	7.6390634	3.4734843	12.463726
chr11	114340000	114345000	chr11	114760000	114765000	0,0,0	12.553698	0.99999905	4.6508527	7.132463	10.098098	7.5517673	2.6877558	13.891735
chr11	34170000	34175000	chr11	34355000	34360000	0,0,0	13.343555	0.99999845	4.2062554	7.852138	10.390288	6.400633	3.2632952	13.380311
chr11	94320000	94325000	chr11	94505000	94510000	0,0,0	6.548692	1.0	2.755082	3.3958485	3.9650466	3.237893	1.5933032	6.256425
chr11	129925000	129930000	chr11	130130000	130135000	0,0,0	6.388965	0.99962276	3.4975452	2.6892498	4.2299857	5.492959	2.005274	7.883404
chr11	9010000	9015000	chr11	9505000	9510000	0,0,0	8.146402	0.99995375	2.935769	5.6553698	7.149215	4.9557734	2.813241	9.982768
chr11	11930000	11935000	chr11	12275000	12280000	0,0,0	5.765553	1.0	2.5007741	2.2135274	3.1230083	2.813039	1.138798	4.780619
chr11	44555000	44560000	chr11	44915000	44920000	0,0,0	4.3122363	1.0	2.3471384	1.320012	1.8913046	2.4097788	0.5900444	3.583123
chr11	5470000	5475000	chr11	5805000	5810000	0,0,0	4.6959777	0.9992971	2.2460349	2.6683502	4.584798	4.8891325	1.3271663	7.260999
chr11	48305000	48310000	chr11	49165000	49170000	0,0,0	5.2920384	0.9994262	2.3930657	3.358843	4.709296	4.4783764	1.4886643	7.464015
chr11	125425000	125430000	chr11	125870000	125875000	0,0,0	6.76458	1.0	2.8887134	2.540082	4.0855794	3.7243605	1.1792005	5.982211
chr11	133080000	133085000	chr11	133835000	133840000	0,0,0	11.008436	0.9999987	3.1976347	9.810076	10.121971	4.8344035	4.03572	13.554471
chr11	13770000	13775000	chr11	13950000	13955000	0,0,0	5.6555476	0.99720985	2.988546	1.7021781	3.4831533	4.369217	1.0016125	5.882264
chr11	124960000	124965000	chr11	125425000	125430000	0,0,0	5.1787934	0.997214	2.4341025	2.5582194	3.5932534	3.6097844	1.3136036	5.883757
chr11	27180000	27185000	chr11	27295000	27300000	0,0,0	5.9828944	1.0	2.2335937	3.374391	3.509349	2.3076217	1.1203564	5.3070807
chr11	90480000	90485000	chr11	91245000	91250000	0,0,0	4.1497116	0.9856619	2.1308084	1.9428579	2.2557535	2.518291	0.72184235	4.245276
chr11	85595000	85600000	chr11	85850000	85855000	0,0,0	5.855982	1.0	2.167787	2.8771849	3.5508108	2.5125782	1.1052713	5.070076
chr11	69130000	69135000	chr11	69420000	69425000	0,0,0	5.047449	1.0	2.2430823	2.3802452	2.635213	2.2906542	1.286244	4.406428
chr11	75895000	75900000	chr11	76150000	76155000	0,0,0	5.724495	0.9986067	2.229761	3.8719196	4.3375216	3.1350482	1.2908561	6.5767546
chr11	32050000	32055000	chr11	32170000	32175000	0,0,0	13.715383	1.0	4.559798	7.56668	9.435501	5.9475207	2.9112313	12.673459
chr11	116730000	116735000	chr11	117115000	117120000	0,0,0	5.9077883	0.99851596	3.3242598	2.9310222	2.9852347	3.9082975	1.3979603	6.5136504
chr11	44930000	44935000	chr11	45335000	45340000	0,0,0	6.5419316	1.0	3.4623115	1.8174884	2.2723482	2.7092452	0.9860078	4.3247905
chr11	78645000	78650000	chr11	79075000	79080000	0,0,0	6.957287	1.0	2.9761484	3.374383	4.0074124	3.3696203	1.5082073	6.369072
chr11	69100000	69105000	chr11	69680000	69685000	0,0,0	17.41044	1.0	7.5470276	7.7358146	9.783885	8.546129	4.240888	15.422409
chr11	101455000	101460000	chr11	101845000	101850000	0,0,0	5.3822618	0.99866974	2.3396032	2.8341436	4.4330773	4.1038184	1.3117987	6.623057
chr11	10515000	10520000	chr11	10730000	10735000	0,0,0	5.3909945	1.0	2.5812092	2.2801547	2.952705	2.9988706	0.8377755	5.025675
chr11	44285000	44290000	chr11	44535000	44540000	0,0,0	11.689303	0.9999984	3.4242709	8.584586	10.44248	5.706545	3.2613497	13.337288
chr11	8005000	8010000	chr11	8095000	8100000	0,0,0	7.395363	1.0	3.5631506	2.8016467	4.0241327	4.2098227	1.0401356	6.700176
chr11	62905000	62910000	chr11	63210000	63215000	0,0,0	10.965826	1.0	4.130746	3.9141557	4.613322	3.2671106	1.6127481	6.74636
chr11	128155000	128160000	chr11	128830000	128835000	0,0,0	7.9438486	0.99983644	3.7273493	4.32864	5.0671515	4.8716993	2.290305	8.719379
chr11	26295000	26300000	chr11	26650000	26655000	0,0,0	8.432242	0.9998121	3.5113595	3.854894	5.8968124	5.154137	1.6875658	8.580709
chr11	76735000	76740000	chr11	76795000	76800000	0,0,0	5.8104243	0.9974723	2.7114105	2.3756158	3.796598	3.8693957	1.1394299	5.981054
chr11	85595000	85600000	chr11	86215000	86220000	0,0,0	5.4821296	1.0	2.8248491	1.7328235	2.4858289	2.8858716	0.8478648	4.4261594
chr11	63475000	63480000	chr11	63635000	63640000	0,0,0	10.829834	0.99999356	4.147582	6.2809315	8.382128	6.3686376	2.6032538	11.951688
chr11	71975000	71980000	chr11	72430000	72435000	0,0,0	7.078788	1.0	2.6944537	3.874892	4.275116	2.9752226	1.6764421	6.419571
chr11	17385000	17390000	chr11	17505000	17510000	0,0,0	7.0995965	1.0	3.4865355	2.2438483	4.0250177	4.4782	1.4594688	6.4727316
chr11	84780000	84785000	chr11	85585000	85590000	0,0,0	7.2413335	0.9994828	3.2990003	2.8459942	5.0146613	5.038088	1.2192632	7.5678606
chr11	94180000	94185000	chr11	94505000	94510000	0,0,0	9.137131	0.9999652	4.1521354	4.7980404	6.3522677	6.000976	2.053622	10.265901
chr11	71085000	71090000	chr11	71420000	71425000	0,0,0	11.866781	1.0	4.1571155	4.5250216	5.8839707	4.002802	1.9865929	8.0250435
chr11	2425000	2430000	chr11	2885000	2890000	0,0,0	13.166091	1.0	5.9034224	3.575236	6.421037	6.345864	1.6481814	9.523851
chr11	114770000	114775000	chr11	115320000	115325000	0,0,0	7.9820213	1.0	3.0521526	3.8799531	4.4612017	3.1842651	1.5035007	6.633113
chr11	76730000	76735000	chr11	77090000	77095000	0,0,0	4.417853	1.0	2.4794068	1.397349	1.7145513	2.2778533	0.9745117	3.519941
chr11	63835000	63840000	chr11	63940000	63945000	0,0,0	10.100419	1.0	3.392904	5.486373	7.2153606	4.7206264	2.7822897	9.597403
chr11	46885000	46890000	chr11	47150000	47155000	0,0,0	10.694313	0.999989	5.0603848	4.9461346	6.922154	7.017191	2.682398	11.413754
chr11	20395000	20400000	chr11	20605000	20610000	0,0,0	8.358037	1.0	3.7641237	1.9053113	3.357872	3.3255603	1.0044833	5.0191703
chr11	1690000	1695000	chr11	2000000	2005000	0,0,0	6.5447083	0.9998801	2.5006256	5.1368957	6.149714	4.4636083	2.3435245	9.029737
chr11	62390000	62395000	chr11	62540000	62545000	0,0,0	6.8505864	0.9992365	2.3492365	4.0466237	5.34657	3.5813653	1.4563961	7.1783643
chr11	79705000	79710000	chr11	81235000	81240000	0,0,0	8.289138	0.9999085	3.0215664	5.557758	6.4557557	4.360108	2.1973429	9.300337
chr11	108115000	108120000	chr11	108655000	108660000	0,0,0	13.489662	1.0	5.3414783	5.9243755	8.644589	7.0318155	2.7753994	12.297927
chr11	118690000	118695000	chr11	118955000	118960000	0,0,0	8.824199	0.9999152	4.2681117	3.3031135	5.912578	6.4400053	1.9269943	9.376106
chr11	86935000	86940000	chr11	87290000	87295000	0,0,0	11.041148	0.999999	3.972854	7.3620157	10.103761	7.236935	3.3110862	13.780949
chr11	34365000	34370000	chr11	34465000	34470000	0,0,0	17.010479	1.0	5.240581	7.1754475	9.155115	5.4084654	2.7055714	11.786641
chr11	119675000	119680000	chr11	120105000	120110000	0,0,0	5.6829634	0.99801433	3.0163653	2.368566	3.3778002	4.1170444	1.055768	6.222436
chr11	64490000	64495000	chr11	64655000	64660000	0,0,0	4.828238	0.9991153	2.3201814	3.646069	3.883639	3.7900057	1.8635722	7.0309553
chr11	27695000	27700000	chr11	29155000	29160000	0,0,0	9.296212	0.9999976	3.4347742	6.06013	9.7218485	7.5568805	2.5688453	12.943663
chr11	86455000	86460000	chr11	86815000	86820000	0,0,0	11.001065	0.9999971	4.3614016	6.519213	8.755267	6.9456835	2.4106662	12.74054
chr11	129790000	129795000	chr11	130130000	130135000	0,0,0	5.708967	1.0	3.3526196	1.5139736	2.659264	3.9514651	0.94058824	5.2972193
chr11	32805000	32810000	chr11	33065000	33070000	0,0,0	4.6330385	1.0	2.3821232	1.7463795	2.5286236	2.928892	1.1375364	4.4812293
chr11	76205000	76210000	chr11	76320000	76325000	0,0,0	5.449469	1.0	2.4510248	2.431723	2.5461679	2.214298	0.9400521	4.3758297
chr11	19565000	19570000	chr11	19740000	19745000	0,0,0	10.866368	0.99998707	4.7061753	5.7586827	7.0900607	6.136008	2.8855417	11.254837
chr11	1640000	1645000	chr11	2145000	2150000	0,0,0	7.8157578	1.0	3.7203267	2.9192734	3.2442856	3.150375	1.4439716	5.7452846
chr11	13210000	13215000	chr11	13340000	13345000	0,0,0	10.960675	1.0	4.608793	4.4376884	7.5725465	6.8687115	2.4862902	10.813323
chr11	95150000	95155000	chr11	96425000	96430000	0,0,0	11.698568	1.0	3.8925676	5.7892575	7.6982794	5.0141244	2.716139	10.160131
chr11	131065000	131070000	chr11	131510000	131515000	0,0,0	6.2104483	0.99938977	2.6416204	3.7321482	4.780478	4.084955	1.9604881	7.40242
chr11	96465000	96470000	chr11	99015000	99020000	0,0,0	15.2203	1.0	6.1888595	3.9304047	5.9332705	5.0253196	2.5566711	8.519012
chr11	26750000	26755000	chr11	27155000	27160000	0,0,0	12.310144	0.9999997	4.4651885	8.728027	10.665562	7.335579	3.47952	15.093825
chr11	101860000	101865000	chr11	102005000	102010000	0,0,0	7.2219567	1.0	3.546111	2.828414	3.4649878	3.621012	1.3714907	6.1351576
chr11	59170000	59175000	chr11	59425000	59430000	0,0,0	10.960794	1.0	4.257111	4.814561	6.1450624	4.6697845	2.1975791	8.949394
chr11	86455000	86460000	chr11	86605000	86610000	0,0,0	7.141668	0.9994985	2.639423	4.564549	5.202626	3.5412743	1.7721676	7.5986514
chr11	12330000	12335000	chr11	12890000	12895000	0,0,0	7.974103	0.99995416	3.590382	4.7584515	6.203453	5.7620206	1.9275787	9.991755
chr11	7570000	7575000	chr11	7660000	7665000	0,0,0	6.901398	0.9994679	3.480455	2.6498501	4.514507	5.184064	1.8010613	7.539486
chr11	129360000	129365000	chr11	129750000	129755000	0,0,0	10.092364	0.9999981	4.6422663	4.858941	8.671088	8.836624	3.2458344	13.1556835
chr11	122215000	122220000	chr11	122505000	122510000	0,0,0	7.281194	1.0	3.173991	3.234932	4.6660666	4.253696	1.5061849	7.129191
chr11	62215000	62220000	chr11	62375000	62380000	0,0,0	6.3899484	0.99932295	2.4877105	3.3948622	5.266768	4.280864	1.6940928	7.298519
chr11	128165000	128170000	chr11	128775000	128780000	0,0,0	4.8504634	0.9990062	2.2329857	3.6255772	4.0175242	3.6919446	1.5142238	6.91468
chr11	65880000	65885000	chr11	65985000	65990000	0,0,0	4.368845	0.99123484	2.1908183	2.2968564	2.5418751	2.6958091	1.2140082	4.737459
chr11	116790000	116795000	chr11	117100000	117105000	0,0,0	5.344217	0.99962574	2.2877896	3.4478874	5.3278384	4.8265166	1.7307811	7.8913054
chr11	44555000	44560000	chr11	44615000	44620000	0,0,0	5.83872	1.0	2.2952576	2.7903056	3.5449157	2.7293093	1.2630922	5.209581
chr11	66405000	66410000	chr11	66830000	66835000	0,0,0	6.1923394	1.0	3.655259	1.9761944	2.5403032	3.75499	1.5989354	5.511607
chr11	130435000	130440000	chr11	130825000	130830000	0,0,0	6.3742213	0.99998266	3.2850895	3.5442865	6.530656	7.814187	1.597706	10.9646635
chr11	70465000	70470000	chr11	70755000	70760000	0,0,0	9.163708	1.0	4.393746	3.86104	4.4405847	4.4013762	2.0467792	7.833412
chr11	57345000	57350000	chr11	57640000	57645000	0,0,0	8.362372	1.0	3.7853997	2.6635704	3.7200336	3.5395436	1.2005951	5.9071617
chr11	122100000	122105000	chr11	122200000	122205000	0,0,0	4.890421	1.0	2.662197	1.9109406	2.2843761	2.8522294	1.2505463	4.5508432
chr11	19950000	19955000	chr11	20130000	20135000	0,0,0	11.711082	1.0	4.384803	6.2919283	7.5654125	5.3653636	2.3424714	10.958189
chr11	4185000	4190000	chr11	4490000	4495000	0,0,0	6.702267	0.99991906	2.781752	5.11295	6.055701	4.87777	2.1689303	9.422614
chr11	65710000	65715000	chr11	65815000	65820000	0,0,0	4.682	0.9946332	2.7117755	2.244728	2.3151538	3.2327466	1.1175011	5.2280607
chr11	57115000	57120000	chr11	57250000	57255000	0,0,0	9.756609	1.0	4.178181	3.6674845	5.3473325	4.778171	1.6741059	8.038157
chr11	113305000	113310000	chr11	113725000	113730000	0,0,0	13.167792	1.0	4.7448883	5.3425174	7.2062454	5.1338577	1.9522228	9.882762
chr11	120235000	120240000	chr11	120300000	120305000	0,0,0	6.8444347	1.0	2.6458125	3.6142554	4.7111316	3.587853	1.7038186	6.800524
chr11	45345000	45350000	chr11	45775000	45780000	0,0,0	5.4908032	0.99657214	2.8799434	2.408692	3.013019	3.5353475	1.1147388	5.676407
chr11	27295000	27300000	chr11	27485000	27490000	0,0,0	4.622528	1.0	2.2083254	2.1861753	2.6772077	2.6769376	1.1630117	4.6202044
chr11	13770000	13775000	chr11	14040000	14045000	0,0,0	4.697681	1.0	2.3940773	1.9647771	2.4019086	2.6704998	1.037859	4.4169683
chr11	77195000	77200000	chr11	77545000	77550000	0,0,0	8.216517	0.9999953	3.519145	5.9547014	7.9772525	6.970291	2.4739847	12.263359
chr11	46245000	46250000	chr11	46310000	46315000	0,0,0	6.1516237	1.0	3.3582945	1.8869786	3.1461122	4.0867476	1.0777038	5.764062
chr11	102015000	102020000	chr11	102250000	102255000	0,0,0	4.4972043	1.0	2.1255226	2.1289504	2.276341	2.1619267	0.75801593	4.054327
chr11	59825000	59830000	chr11	60125000	60130000	0,0,0	6.350522	1.0	3.1941242	2.276394	3.1811037	3.5382845	1.1718341	5.5617456
chr11	7095000	7100000	chr11	7690000	7695000	0,0,0	5.576316	0.99809015	2.9828553	2.093763	3.5032375	4.4002633	1.4745188	6.2613864
chr11	102495000	102500000	chr11	102610000	102615000	0,0,0	5.066555	1.0	2.4283893	2.5579805	2.81791	2.7617798	1.2584219	5.03554
chr11	111600000	111605000	chr11	111775000	111780000	0,0,0	6.9014177	0.999953	3.4273765	4.434312	5.621463	6.0244365	1.9155933	9.966047
chr11	3455000	3460000	chr11	3840000	3845000	0,0,0	6.852208	1.0	2.988081	2.8840165	3.3653347	2.8923025	1.2490752	5.4558725
chr11	93235000	93240000	chr11	93650000	93655000	0,0,0	10.306709	1.0	4.4134326	4.3923607	6.8879075	6.263421	2.6555793	10.167742
chr11	12960000	12965000	chr11	13180000	13185000	0,0,0	6.873608	0.9998175	3.4310899	3.1349695	5.1698723	5.822863	1.5100123	8.609503
chr11	75440000	75445000	chr11	75530000	75535000	0,0,0	10.068032	1.0	4.102347	4.7954836	6.5758553	5.4297366	2.4578032	9.692389
chr11	6375000	6380000	chr11	6500000	6505000	0,0,0	4.466045	1.0	2.3619804	1.4755124	2.2201793	2.7066438	1.0882536	4.0182104
chr11	8190000	8195000	chr11	8565000	8570000	0,0,0	4.8630753	0.99787	2.4263804	2.3977363	3.6177914	4.020955	1.5272884	6.152276
chr11	9755000	9760000	chr11	9970000	9975000	0,0,0	9.622713	0.9999494	2.9888537	6.298222	7.506721	4.2939105	2.211761	9.89233
chr11	75020000	75025000	chr11	75245000	75250000	0,0,0	7.9903326	1.0	3.1624897	3.7701764	5.288316	4.247041	1.3510153	7.598309
chr11	6020000	6025000	chr11	6355000	6360000	0,0,0	4.8644595	1.0	2.8840117	1.3066574	2.3792195	3.605678	0.8157303	4.7671514
chr11	20125000	20130000	chr11	20350000	20355000	0,0,0	6.898911	1.0	3.600548	2.1494887	3.9697585	4.8420887	1.4990774	6.7527456
chr11	6530000	6535000	chr11	6705000	6710000	0,0,0	6.169803	1.0	2.1490495	3.7497787	4.1143804	2.5487642	1.2394146	5.881901
chr11	104605000	104610000	chr11	105860000	105865000	0,0,0	5.270556	0.9968554	2.8652902	2.2144046	3.0019197	3.794292	1.2202737	5.7626514
chr11	87350000	87355000	chr11	87420000	87425000	0,0,0	4.212688	1.0	2.2336311	1.0625229	2.0854225	2.6203115	0.506059	3.5647764
chr11	27180000	27185000	chr11	27485000	27490000	0,0,0	14.875657	1.0	8.01622	4.412247	7.8063774	9.974657	3.287216	13.896655
chr11	33855000	33860000	chr11	33970000	33975000	0,0,0	6.098525	0.9980034	3.215755	2.410314	3.3866472	4.074461	0.9540411	6.2169623
chr11	74450000	74455000	chr11	74565000	74570000	0,0,0	9.755241	0.99996346	3.6685665	4.475415	7.7237496	6.2397327	2.8232024	10.217879
chr11	65365000	65370000	chr11	65510000	65515000	0,0,0	7.9345975	0.99987805	3.4621613	4.188324	5.8436522	5.2898846	1.7141179	9.012839
chr11	122790000	122795000	chr11	122855000	122860000	0,0,0	4.3162513	0.9912067	2.168201	1.8394763	2.761634	3.0991688	1.3017322	4.7342587
chr11	45365000	45370000	chr11	45750000	45755000	0,0,0	6.2645802	0.9986054	2.353735	4.0136976	4.407439	3.0080867	1.6995183	6.575818
chr11	75130000	75135000	chr11	75250000	75255000	0,0,0	5.990117	1.0	2.7497773	2.5760098	2.985115	2.7657807	1.0521797	5.0555673
chr11	33855000	33860000	chr11	34360000	34365000	0,0,0	7.412333	0.99974924	2.500857	4.818988	6.175242	4.008274	2.3755713	8.291819
chr11	88015000	88020000	chr11	88540000	88545000	0,0,0	5.8559446	0.9995393	2.865041	3.179784	4.5419297	4.8571124	1.6716814	7.683587
chr11	5205000	5210000	chr11	5805000	5810000	0,0,0	4.222938	0.99308276	2.2899687	1.8678718	2.623677	3.313928	1.1619748	4.9742584
chr11	840000	845000	chr11	1050000	1055000	0,0,0	13.631048	1.0	4.163945	5.2380114	5.7575083	3.06289	1.7936246	7.7189007
chr11	85590000	85595000	chr11	86290000	86295000	0,0,0	6.573841	1.0	2.6904006	3.6302803	4.2511477	3.3452055	1.6026266	6.572121
chr11	72725000	72730000	chr11	72790000	72795000	0,0,0	4.3754697	0.9901054	2.1104875	2.22363	2.6219676	2.6396856	1.0010961	4.6162453
chr11	15645000	15650000	chr11	16615000	16620000	0,0,0	7.1825533	0.9997931	2.821044	5.0946856	5.5024114	3.955469	1.7137896	8.484078
chr11	62395000	62400000	chr11	62690000	62695000	0,0,0	11.198908	1.0	4.5204167	3.9526334	4.731223	3.6850226	1.6036394	7.1984744
chr11	6020000	6025000	chr11	6315000	6320000	0,0,0	6.450335	0.9991591	2.8772817	2.942008	4.6584067	4.4666467	1.4823921	7.081765
chr11	17595000	17600000	chr11	17975000	17980000	0,0,0	7.7759285	1.0	2.8576808	3.7486658	4.50929	3.1272066	1.6838003	6.459354
chr11	118195000	118200000	chr11	118485000	118490000	0,0,0	7.997995	0.999961	2.1654477	7.6134415	7.7619104	3.3852727	2.5133398	10.152776
chr11	1690000	1695000	chr11	1830000	1835000	0,0,0	10.397431	0.9999926	2.7666452	8.507554	9.300058	4.257225	3.0256813	11.819495
chr11	115335000	115340000	chr11	115500000	115505000	0,0,0	5.741989	1.0	2.8058817	2.1800518	3.4476018	3.741534	0.8649127	5.6793575
chr11	5120000	5125000	chr11	5380000	5385000	0,0,0	5.5392246	0.9995699	2.30799	3.7002237	5.2158055	4.4631844	1.9097593	7.752272
chr11	95765000	95770000	chr11	96425000	96430000	0,0,0	4.598764	0.99820644	2.54724	2.464188	3.1761122	4.133823	1.5234832	6.3242126
chr11	82865000	82870000	chr11	83810000	83815000	0,0,0	6.1618295	0.99971217	3.0505407	3.8046927	4.530757	4.7720356	1.9403646	8.153984
chr11	43885000	43890000	chr11	44035000	44040000	0,0,0	6.4303026	1.0	2.343704	3.3387094	3.7985458	2.5386872	1.357924	5.5064287
chr11	123110000	123115000	chr11	123245000	123250000	0,0,0	13.561612	1.0	5.6132903	5.404598	7.044681	5.839448	2.343107	10.643536
chr11	71115000	71120000	chr11	71415000	71420000	0,0,0	5.0369	0.99830985	2.650123	2.1730013	3.6399446	4.4520493	1.3004669	6.383606
chr11	59540000	59545000	chr11	59800000	59805000	0,0,0	6.807213	1.0	3.4581654	2.6040134	2.8817413	3.1277595	1.5199488	5.442438
chr11	129115000	129120000	chr11	129745000	129750000	0,0,0	7.001503	0.9994056	2.7215066	4.0684133	5.0614214	3.812433	1.7045977	7.4288
chr11	7890000	7895000	chr11	7985000	7990000	0,0,0	6.7034683	1.0	3.5449994	1.8189535	3.5987742	4.5068116	1.1034888	6.123659
chr11	118195000	118200000	chr11	118290000	118295000	0,0,0	10.519044	0.9999934	3.2979038	6.5077147	9.537722	6.14081	2.8583002	11.925446
chr11	45110000	45115000	chr11	45330000	45335000	0,0,0	9.509197	1.0	4.613444	3.337593	5.5841765	6.049383	1.7686089	9.016133
