chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
chr1	16525001	16550000	chr1	16525001	16940000	415000	25000	9.345205479452055	95.0%	0.965	-6.998396886876364
chr1	16575001	16595000	chr1	16330001	16595000	265000	20000	13.382075471698114	95.0%	0.997	-4.104612949140234
chr1	16640001	16680000	chr1	16205001	16680000	475000	40000	6.659574468085106	95.0%	0.978	-3.4250890987131344
chr1	15525001	15555000	chr1	15525001	15770000	245000	30000	15.197278911564625	95.0%	0.57	-1.1575605994655511
chr1	16850001	16870000	chr1	16540001	16870000	330000	20000	5.973214285714286	95.0%	0.991	-4.141283639271174
chr1	15560001	15580000	chr1	15560001	15735000	175000	20000	18.90714285714286	95.0%	0.877	-1.7742512112842839
chr1	16245001	16265000	chr1	16245001	16465000	220000	20000	16.022727272727273	95.0%	0.21300000000000002	-0.4703866915225915
chr1	17080001	17110000	chr1	17080001	17375000	295000	30000	11.033898305084746	95.0%	0.961	-3.0336927108477005
chr1	17400001	17415000	chr1	17245001	17415000	170000	15000	15.049019607843137	95.0%	0.45499999999999996	-1.0424543729462958
chr1	17970001	17990000	chr1	17970001	18275000	305000	20000	10.254098360655737	95.0%	0.851	-1.40945666027137
chr1	19330001	19345000	chr1	19330001	19650000	320000	15000	8.625	95.0%	0.9185000000000001	-2.4126414842355848
chr1	18890001	18910000	chr1	18890001	19250000	360000	20000	10.07986111111111	95.0%	0.063	1.5170414268817292
chr1	19365001	19380000	chr1	19365001	19605000	240000	15000	12.527777777777779	95.0%	0.7745	-2.219529832088479
chr1	20160001	20195000	chr1	20160001	20490000	330000	35000	10.101731601731602	95.0%	0.9704999999999999	-3.045903797516281
chr1	19650001	19665000	chr1	19650001	19905000	255000	15000	7.980392156862745	95.0%	0.915	-1.3804093936600141
chr1	20200001	20215000	chr1	19975001	20215000	240000	15000	12.25	95.0%	0.8705	-1.943295929126393
chr1	20205001	20225000	chr1	20205001	20500000	295000	20000	12.652542372881356	95.0%	0.022	3.282051318112148
chr1	19970001	19990000	chr1	19970001	20200000	230000	20000	15.581521739130435	95.0%	0.46849999999999997	-1.9158290946318177
chr1	20675001	20700000	chr1	20675001	20980000	305000	25000	9.37704918032787	95.0%	0.456	-0.86529122016648
chr1	20960001	20975000	chr1	20825001	20975000	150000	15000	21.51111111111111	95.0%	0.5765	-1.521231816869902
chr1	22955001	22980000	chr1	22650001	22980000	330000	25000	9.378787878787879	95.0%	0.846	-1.4964033448685594
chr1	22625001	22655000	chr1	22080001	22655000	575000	30000	6.428985507246377	95.0%	0.049	1.7994247864256523
chr1	22480001	22495000	chr1	22480001	22660000	180000	15000	19.15740740740741	95.0%	0.8480000000000001	-2.4048324927352565
chr1	22450001	22475000	chr1	22450001	22650000	200000	25000	18.630000000000003	95.0%	0.9430000000000001	-3.1885870172555704
chr1	22965001	22985000	chr1	22965001	23285000	320000	20000	11.5390625	95.0%	0.0165	3.880744286482545
chr1	22675001	22690000	chr1	22675001	22960000	285000	15000	11.333333333333334	95.0%	0.347	-1.6549627952019732
chr1	22995001	23015000	chr1	22995001	23275000	280000	20000	11.375	95.0%	0.961	-4.230257254930193
chr1	23020001	23045000	chr1	23020001	23255000	235000	25000	16.19148936170213	95.0%	0.949	-4.201098261877514
chr1	24055001	24075000	chr1	23805001	24075000	270000	20000	11.652777777777779	95.0%	0.798	-1.5864490552845814
chr1	24545001	24570000	chr1	24405001	24570000	165000	25000	18.824242424242424	95.0%	0.959	-2.5276068614479414
chr1	26000001	26020000	chr1	25885001	26020000	135000	20000	21.185185185185187	95.0%	0.679	-1.8787905818606954
chr1	26435001	26465000	chr1	26190001	26465000	275000	30000	13.003030303030302	95.0%	0.838	-1.7431198511147032
chr1	25195001	25220000	chr1	24840001	25220000	380000	25000	9.41578947368421	95.0%	0.0685	0.9109298488696982
chr1	25505001	25535000	chr1	25330001	25535000	205000	30000	11.418699186991871	95.0%	0.678	-1.7073506398727372
chr1	26160001	26175000	chr1	26025001	26175000	150000	15000	15.955555555555556	95.0%	0.5715	-1.7894146216177047
chr1	26380001	26400000	chr1	26105001	26400000	295000	20000	11.389830508474576	95.0%	0.078	-0.2861234953120589
chr1	26010001	26025000	chr1	26010001	26155000	145000	15000	18.908045977011493	95.0%	0.832	-2.0231359523934938
chr1	26625001	26650000	chr1	26625001	26835000	210000	25000	14.223809523809525	95.0%	0.9855	-6.096808938927813
chr1	28180001	28215000	chr1	27845001	28215000	370000	35000	9.99034749034749	95.0%	0.38849999999999996	-0.3576678172695686
chr1	27855001	27875000	chr1	27855001	28030000	175000	20000	16.207142857142856	95.0%	0.139	-0.5978443598147409
chr1	27975001	27990000	chr1	27975001	28215000	240000	15000	13.722222222222221	95.0%	0.748	-2.012796444483842
chr1	27600001	27620000	chr1	27290001	27620000	330000	20000	8.969696969696969	95.0%	0.173	-0.707744897941467
chr1	28140001	28175000	chr1	27985001	28175000	190000	35000	17.146616541353385	95.0%	0.6495	-2.221986008260698
chr1	28360001	28390000	chr1	28360001	28580000	220000	30000	13.734848484848484	95.0%	0.8360000000000001	-1.810172390370373
chr1	27990001	28005000	chr1	27835001	28005000	170000	15000	17.235294117647058	95.0%	0.9065000000000001	-1.731009028451976
chr1	29175001	29210000	chr1	29030001	29210000	180000	35000	15.984126984126984	95.0%	0.4135	-0.6373823657294705
chr1	28875001	28895000	chr1	28875001	29215000	340000	20000	9.235294117647058	95.0%	0.3225	-0.4630419753225798
chr1	29345001	29375000	chr1	29240001	29375000	135000	30000	20.919753086419753	95.0%	0.64	-1.0612422085197153
chr1	28740001	28765000	chr1	28740001	28870000	130000	25000	23.069230769230767	95.0%	0.9475	-1.7233426878492621
chr1	29230001	29255000	chr1	29230001	29505000	275000	25000	10.749090909090908	95.0%	0.056	0.2996305383477244
chr1	29865001	29900000	chr1	29865001	30150000	285000	35000	11.56641604010025	95.0%	0.577	-1.175457581814184
chr1	30640001	30675000	chr1	30515001	30675000	160000	35000	16.90625	95.0%	0.6805	-0.8621612697412652
chr1	30415001	30450000	chr1	30415001	30635000	220000	35000	12.14935064935065	95.0%	0.5415000000000001	-1.0802287667229722
chr1	30125001	30145000	chr1	29675001	30145000	470000	20000	6.276595744680851	95.0%	0.9015	-2.273303264256625
chr1	29525001	29545000	chr1	29525001	29860000	335000	20000	9.716417910447761	95.0%	0.897	-2.4345817497692037
chr1	31560001	31580000	chr1	31330001	31580000	250000	20000	10.28	95.0%	0.9635	-2.585996072562595
chr1	31585001	31610000	chr1	31330001	31610000	280000	25000	11.285714285714286	95.0%	0.8215	-1.5332542994533176
chr1	32205001	32220000	chr1	32205001	32320000	115000	15000	23.492753623188406	95.0%	0.897	-1.2229021486011267
chr1	32185001	32200000	chr1	32020001	32200000	180000	15000	17.87037037037037	95.0%	0.6125	-1.5461366084836237
chr1	32775001	32795000	chr1	32455001	32795000	340000	20000	9.830882352941176	95.0%	0.8634999999999999	-2.7822918110235273
chr1	31645001	31670000	chr1	31645001	31795000	150000	25000	19.9	95.0%	0.0285	0.6507297629933069
chr1	33080001	33100000	chr1	32785001	33100000	315000	20000	10.047619047619047	95.0%	0.39	-1.5632679968076386
chr1	32695001	32715000	chr1	32695001	32895000	200000	20000	15.06875	95.0%	0.040499999999999994	0.4533669528187522
chr1	34095001	34115000	chr1	33640001	34115000	475000	20000	5.78421052631579	95.0%	0.853	-1.6844858316636457
chr1	34590001	34615000	chr1	33630001	34615000	985000	25000	4.321827411167513	95.0%	0.147	-1.7056735099146283
chr1	35550001	35570000	chr1	35335001	35570000	235000	20000	12.47340425531915	95.0%	0.443	-1.845185388931647
chr1	36275001	36300000	chr1	36090001	36300000	210000	25000	17.371428571428574	95.0%	0.020999999999999998	1.7987616432331948
chr1	35150001	35175000	chr1	34825001	35175000	350000	25000	9.905714285714286	95.0%	0.725	-1.5619594607460334
chr1	35765001	35790000	chr1	35520001	35790000	270000	25000	11.285185185185185	95.0%	0.842	-1.7052836076608302
chr1	35890001	35925000	chr1	35890001	36070000	180000	35000	19.626984126984127	95.0%	0.842	-2.011862170435625
chr1	36095001	36125000	chr1	36095001	36420000	325000	30000	9.876923076923077	95.0%	0.4	-0.9719166951201129
chr1	37670001	37690000	chr1	37440001	37690000	250000	20000	14.145	95.0%	0.0285	2.3337861554414467
chr1	37005001	37035000	chr1	37005001	37190000	185000	30000	15.292792792792794	95.0%	0.583	-0.8112961433797298
chr1	38860001	38880000	chr1	38860001	39045000	185000	20000	16.16891891891892	95.0%	0.59	-0.6065288176613257
chr1	37990001	38025000	chr1	37790001	38025000	235000	35000	12.0790273556231	95.0%	0.911	-1.3674179498257062
chr1	38800001	38835000	chr1	38655001	38835000	180000	35000	16.928571428571427	95.0%	0.253	-0.3528059848764645
chr1	39195001	39210000	chr1	39195001	39380000	185000	15000	17.855855855855854	95.0%	0.708	-1.6736729790890745
chr1	39390001	39410000	chr1	39120001	39410000	290000	20000	10.767241379310345	95.0%	0.965	-2.7549461372038095
chr1	40050001	40065000	chr1	40050001	40380000	330000	15000	11.227272727272727	95.0%	0.651	-3.569061556942352
chr1	39525001	39545000	chr1	39180001	39545000	365000	20000	8.979452054794521	95.0%	0.116	0.09174781246575504
chr1	39085001	39105000	chr1	39085001	39610000	525000	20000	7.0	95.0%	0.052	0.5395348879661527
chr1	39755001	39785000	chr1	39755001	40025000	270000	30000	5.95679012345679	95.0%	0.9875	-1.9861590105814981
chr1	40070001	40090000	chr1	40070001	40415000	345000	20000	12.717391304347826	95.0%	0.012	5.521280124807346
chr1	40395001	40415000	chr1	40135001	40415000	280000	20000	13.459821428571429	95.0%	0.0395	2.1404961239142373
chr1	40355001	40390000	chr1	40065001	40390000	325000	35000	8.927472527472528	95.0%	0.967	-5.331030431216422
chr1	41245001	41260000	chr1	41245001	41480000	235000	15000	14.234042553191488	95.0%	0.902	-3.124087005272851
chr1	41805001	41825000	chr1	41560001	41825000	265000	20000	12.0	95.0%	0.72	-1.9874948252444464
chr1	41985001	42010000	chr1	41565001	42010000	445000	25000	7.098876404494382	95.0%	0.959	-4.126909956520799
chr1	41315001	41350000	chr1	41155001	41350000	195000	35000	16.761904761904763	95.0%	0.597	-0.9781204770701949
chr1	42285001	42305000	chr1	42285001	42510000	225000	20000	15.4	95.0%	0.748	-1.7162565408436365
chr1	42310001	42335000	chr1	42310001	42630000	320000	25000	10.89375	95.0%	0.857	-2.743707500015054
chr1	41560001	41585000	chr1	41560001	41795000	235000	25000	12.382978723404255	95.0%	0.755	-1.3663123063795901
chr1	42175001	42195000	chr1	42175001	42655000	480000	20000	9.247395833333334	95.0%	0.088	-0.24740354105677417
chr1	42150001	42180000	chr1	41550001	42180000	630000	30000	5.026455026455026	95.0%	0.956	-3.1455386372673475
chr1	42185001	42205000	chr1	41550001	42205000	655000	20000	5.280534351145038	95.0%	0.866	-2.5923909841606894
chr1	42130001	42165000	chr1	42130001	42755000	625000	35000	6.138285714285715	95.0%	0.889	-2.4934998896816167
chr1	43080001	43100000	chr1	42780001	43100000	320000	20000	11.1484375	95.0%	0.2185	-2.767669207250148
chr1	43745001	43760000	chr1	43555001	43760000	205000	15000	15.113821138211383	95.0%	0.482	-0.8188807939448753
chr1	45260001	45285000	chr1	45075001	45285000	210000	25000	17.50952380952381	95.0%	0.34550000000000003	-0.5681810748959227
chr1	44585001	44605000	chr1	44165001	44605000	440000	20000	8.846590909090908	95.0%	0.025	1.669808811652421
chr1	43515001	43535000	chr1	43515001	43770000	255000	20000	12.058823529411764	95.0%	0.081	0.5120176260368035
chr1	43540001	43570000	chr1	43540001	43770000	230000	30000	12.047101449275361	95.0%	0.935	-1.936391185547029
chr1	44170001	44190000	chr1	44170001	44470000	300000	20000	11.525	95.0%	0.9115	-2.6781605799861317
chr1	44370001	44390000	chr1	44370001	44665000	295000	20000	13.635593220338983	95.0%	0.102	-0.03059316543590126
chr1	45290001	45310000	chr1	44845001	45310000	465000	20000	7.895161290322581	95.0%	0.416	-2.4356349054044766
chr1	46175001	46190000	chr1	46070001	46190000	120000	15000	20.180555555555554	95.0%	0.9055	-2.2275478495806342
chr1	47095001	47115000	chr1	46755001	47115000	360000	20000	8.916666666666666	95.0%	0.492	-3.0678508148233896
chr1	46830001	46855000	chr1	46830001	47170000	340000	25000	9.597058823529412	95.0%	0.8855	-2.979868633541065
chr1	45985001	46015000	chr1	45985001	46225000	240000	30000	15.215277777777779	95.0%	0.9595	-3.6519381171590917
chr1	46885001	46905000	chr1	46885001	47175000	290000	20000	7.780172413793103	95.0%	0.9895	-6.098326590029398
chr1	46730001	46755000	chr1	46730001	47155000	425000	25000	9.465882352941176	95.0%	0.073	-0.00035866546359457845
chr1	48190001	48205000	chr1	47950001	48205000	255000	15000	12.777777777777779	95.0%	0.601	-2.441808084553029
chr1	46535001	46555000	chr1	46535001	46835000	300000	20000	10.35	95.0%	0.6325000000000001	-1.5609275807484213
chr1	46860001	46880000	chr1	46860001	47180000	320000	20000	9.5859375	95.0%	0.11399999999999999	-1.0176739882700012
chr1	47425001	47445000	chr1	47425001	47740000	315000	20000	10.833333333333334	95.0%	0.036	0.18106136280846805
chr1	48100001	48120000	chr1	48100001	48330000	230000	20000	14.815217391304348	95.0%	0.266	-1.1011062379750713
chr1	48450001	48465000	chr1	48255001	48465000	210000	15000	14.738095238095239	95.0%	0.7090000000000001	-2.103237644536844
chr1	48140001	48160000	chr1	48140001	48290000	150000	20000	14.725	95.0%	0.994	-5.756731366369438
chr1	48165001	48190000	chr1	48165001	48335000	170000	25000	18.264705882352942	95.0%	0.9235	-2.3955527174888074
chr1	49055001	49085000	chr1	48945001	49085000	140000	30000	23.43452380952381	95.0%	0.405	-1.1463465050563058
chr1	49250001	49285000	chr1	49250001	49575000	325000	35000	8.989010989010989	95.0%	0.948	-4.2506702358328745
chr1	48910001	48925000	chr1	48770001	48925000	155000	15000	19.0752688172043	95.0%	0.813	-1.140451786997699
chr1	49190001	49205000	chr1	49190001	49520000	330000	15000	10.898989898989898	95.0%	0.712	-1.6783291958654707
chr1	49295001	49325000	chr1	49295001	49555000	260000	30000	14.217948717948717	95.0%	0.46	-1.3746724827167869
chr1	48800001	48830000	chr1	48640001	48830000	190000	30000	17.899122807017545	95.0%	0.255	-0.8471081922908898
chr1	50270001	50290000	chr1	49995001	50290000	295000	20000	12.008474576271187	95.0%	0.684	-1.7300975302940056
chr1	49825001	49855000	chr1	49580001	49855000	275000	30000	11.881818181818183	95.0%	0.635	-1.3202454901467466
chr1	50355001	50375000	chr1	50355001	50745000	390000	20000	9.631410256410257	95.0%	0.0635	1.2887155713543779
chr1	51135001	51165000	chr1	50735001	51165000	430000	30000	9.901162790697674	95.0%	0.943	-6.391235146479941
chr1	50410001	50430000	chr1	50410001	50710000	300000	20000	9.4125	95.0%	0.992	-5.096385507371521
chr1	50765001	50800000	chr1	50765001	51005000	240000	35000	16.505952380952383	95.0%	0.34199999999999997	-0.32265719320288655
chr1	51060001	51075000	chr1	50735001	51075000	340000	15000	10.073529411764705	95.0%	0.9	-3.256652713958774
chr1	52115001	52135000	chr1	52115001	52465000	350000	20000	11.153571428571428	95.0%	0.0595	1.5308696715920844
chr1	51170001	51190000	chr1	50735001	51190000	455000	20000	9.285714285714286	95.0%	0.033	1.9825046044769201
chr1	51790001	51820000	chr1	51315001	51820000	505000	30000	8.53960396039604	95.0%	0.94	-3.97904445569015
chr1	52025001	52055000	chr1	51865001	52055000	190000	30000	17.333333333333332	95.0%	0.9295	-2.825557942784539
chr1	51855001	51875000	chr1	51855001	52020000	165000	20000	19.15909090909091	95.0%	0.957	-2.581543384554507
chr1	53240001	53275000	chr1	53240001	53400000	160000	35000	21.924107142857142	95.0%	0.202	-0.5505932539492073
chr1	53480001	53500000	chr1	53480001	53765000	285000	20000	11.763157894736842	95.0%	0.063	0.7255272831442001
chr1	53435001	53470000	chr1	53435001	53825000	390000	35000	8.813186813186814	95.0%	0.7815000000000001	-1.4000171794847
chr1	53060001	53075000	chr1	52835001	53075000	240000	15000	12.513888888888888	95.0%	0.7805	-1.754487463912828
chr1	54490001	54510000	chr1	54120001	54510000	390000	20000	7.57051282051282	95.0%	0.5974999999999999	-1.428617232547543
chr1	55340001	55360000	chr1	55340001	55680000	340000	20000	10.194852941176471	95.0%	0.7384999999999999	-1.7768917994796516
chr1	55455001	55480000	chr1	55280001	55480000	200000	25000	17.005000000000003	95.0%	0.4125	-0.9617234389356198
chr1	54570001	54585000	chr1	54570001	54730000	160000	15000	17.604166666666668	95.0%	0.93	-1.2843452134369298
chr1	55030001	55060000	chr1	55030001	55270000	240000	30000	12.809027777777779	95.0%	0.949	-2.3175906696396384
chr1	55360001	55380000	chr1	55360001	55895000	535000	20000	7.700934579439252	95.0%	0.202	-0.8336045260027118
chr1	55385001	55405000	chr1	55385001	55895000	510000	20000	7.931372549019608	95.0%	0.864	-4.38940422258686
chr1	55465001	55500000	chr1	55465001	55900000	435000	35000	8.331691297208538	95.0%	0.764	-1.814411240259977
chr1	55900001	55915000	chr1	55705001	55915000	210000	15000	13.380952380952381	95.0%	0.915	-2.1369980367122836
chr1	57085001	57120000	chr1	56910001	57120000	210000	35000	15.952380952380953	95.0%	0.615	-1.1696990414350852
chr1	56230001	56250000	chr1	55950001	56250000	300000	20000	11.216666666666667	95.0%	0.622	-1.5073728220404408
chr1	56985001	57005000	chr1	56985001	57195000	210000	20000	14.791666666666666	95.0%	0.782	-1.7071484222254985
chr1	56860001	56890000	chr1	56860001	57075000	215000	30000	15.868217054263566	95.0%	0.495	-1.1503977558637541
chr1	58150001	58170000	chr1	57915001	58170000	255000	20000	13.401960784313726	95.0%	0.161	-0.4911792393258546
chr1	56825001	56840000	chr1	56535001	56840000	305000	15000	9.07103825136612	95.0%	0.888	-2.2179563917291985
chr1	56820001	56835000	chr1	56820001	57085000	265000	15000	10.477987421383647	95.0%	0.72	-1.781356877520498
chr1	58255001	58275000	chr1	58255001	58435000	180000	20000	11.92361111111111	95.0%	0.9704999999999999	-2.5301540769646738
chr1	58470001	58500000	chr1	58470001	58765000	295000	30000	9.652542372881356	95.0%	0.981	-4.733368292254561
chr1	58210001	58245000	chr1	57890001	58245000	355000	35000	10.130784708249497	95.0%	0.843	-1.7137492044902365
chr1	58250001	58265000	chr1	58060001	58265000	205000	15000	13.991869918699187	95.0%	0.858	-1.554937714900818
chr1	57680001	57715000	chr1	57535001	57715000	180000	35000	18.23015873015873	95.0%	0.875	-1.4884296631748204
chr1	59655001	59675000	chr1	58715001	59675000	960000	20000	4.657552083333333	95.0%	0.969	-19.774970066463347
chr1	59575001	59600000	chr1	59345001	59600000	255000	25000	12.2	95.0%	0.954	-3.306171724659011
chr1	60145001	60175000	chr1	60145001	60855000	710000	30000	6.669014084507043	95.0%	0.4545	-2.5133312706218014
chr1	60645001	60660000	chr1	60380001	60660000	280000	15000	16.779761904761905	95.0%	0.8634999999999999	-8.434337343066401
chr1	60490001	60505000	chr1	60490001	60800000	310000	15000	12.93010752688172	95.0%	0.993	-10.928805578332918
chr1	60810001	60830000	chr1	60055001	60830000	775000	20000	9.388709677419355	95.0%	0.674	-8.719869090497209
chr1	61810001	61835000	chr1	61415001	61835000	420000	25000	10.357142857142858	95.0%	0.9255	-5.133590987306924
chr1	61840001	61865000	chr1	61415001	61865000	450000	25000	9.364444444444445	95.0%	0.045	1.1330582023031295
chr1	60620001	60640000	chr1	60620001	60830000	210000	20000	22.779761904761905	95.0%	0.9835	-6.608461866910572
chr1	61025001	61040000	chr1	61025001	61280000	255000	15000	11.457516339869281	95.0%	0.876	-2.2475850481037485
chr1	60790001	60815000	chr1	60790001	61575000	785000	25000	7.414012738853503	95.0%	0.957	-6.374848991102652
chr1	62720001	62745000	chr1	62450001	62745000	295000	25000	13.566101694915256	95.0%	0.214	0.04980067454831292
chr1	63540001	63555000	chr1	62945001	63555000	610000	15000	6.35792349726776	95.0%	0.632	-1.8159572644676485
chr1	63930001	63955000	chr1	63930001	64230000	300000	25000	14.559999999999999	95.0%	0.0935	-0.8807781952338005
chr1	63425001	63455000	chr1	63165001	63455000	290000	30000	13.028735632183908	95.0%	0.23099999999999998	-0.2090743538145796
chr1	64460001	64485000	chr1	64290001	64485000	195000	25000	15.917948717948718	95.0%	0.579	-1.653253646725802
chr1	63705001	63740000	chr1	63705001	63945000	240000	35000	15.711309523809524	95.0%	0.9285	-3.935576840835088
chr1	63745001	63760000	chr1	63745001	63940000	195000	15000	18.64957264957265	95.0%	0.849	-2.794026820787139
chr1	63675001	63700000	chr1	63675001	64125000	450000	25000	9.620000000000001	95.0%	0.035	2.496455813094659
chr1	64610001	64630000	chr1	64320001	64630000	310000	20000	12.612903225806452	95.0%	0.9355	-3.833204001708556
chr1	64175001	64210000	chr1	63575001	64210000	635000	35000	6.674915635545557	95.0%	0.991	-23.74697731768636
chr1	65695001	65710000	chr1	65175001	65710000	535000	15000	6.8193146417445485	95.0%	0.863	-4.895481217033685
chr1	65565001	65580000	chr1	65565001	65775000	210000	15000	15.436507936507937	95.0%	0.6839999999999999	-1.1293880112018628
chr1	65055001	65080000	chr1	64815001	65080000	265000	25000	12.128301886792453	95.0%	0.675	-1.6122635721987286
chr1	64815001	64840000	chr1	64815001	65075000	260000	25000	13.046153846153846	95.0%	0.753	-1.7861794832731863
chr1	65430001	65460000	chr1	65430001	65675000	245000	30000	12.571428571428571	95.0%	0.877	-2.5612651069657852
chr1	65710001	65745000	chr1	65710001	65940000	230000	35000	15.850931677018634	95.0%	0.882	-1.5377156537482608
chr1	67165001	67200000	chr1	66845001	67200000	355000	35000	10.424547283702212	95.0%	0.927	-3.362988822551675
chr1	67205001	67220000	chr1	66845001	67220000	375000	15000	9.022222222222222	95.0%	0.81	-2.233944953997247
chr1	67040001	67060000	chr1	66830001	67060000	230000	20000	15.201086956521738	95.0%	0.6910000000000001	-1.253593290203021
chr1	66715001	66735000	chr1	66460001	66735000	275000	20000	13.431818181818182	95.0%	0.269	-1.2979295606636427
chr1	65930001	65960000	chr1	65930001	66195000	265000	30000	13.9937106918239	95.0%	0.557	-1.1777745221437845
chr1	66975001	66990000	chr1	66975001	67210000	235000	15000	14.851063829787234	95.0%	0.893	-4.017953954349668
chr1	67390001	67425000	chr1	67185001	67425000	240000	35000	15.470238095238097	95.0%	0.989	-3.7378596536255544
chr1	67840001	67860000	chr1	67840001	68360000	520000	20000	8.475961538461538	95.0%	0.052	1.5581906441448183
chr1	68335001	68365000	chr1	67850001	68365000	515000	30000	8.53883495145631	95.0%	0.367	-2.737079744051013
chr1	68440001	68465000	chr1	68060001	68465000	405000	25000	9.558024691358025	95.0%	0.662	-1.4589169716615178
chr1	67525001	67545000	chr1	67525001	67870000	345000	20000	10.793478260869565	95.0%	0.433	-1.9886706009120125
chr1	68115001	68135000	chr1	68115001	68450000	335000	20000	13.753731343283581	95.0%	0.046	4.70048033640337
chr1	68975001	68990000	chr1	68780001	68990000	210000	15000	15.976190476190476	95.0%	0.5660000000000001	-1.440865611381702
chr1	71045001	71060000	chr1	70685001	71060000	375000	15000	8.324444444444444	95.0%	0.885	-3.093755303771804
chr1	70455001	70475000	chr1	70025001	70475000	450000	20000	8.777777777777779	95.0%	0.9655	-9.436439901638966
chr1	70480001	70510000	chr1	70025001	70510000	485000	30000	8.926116838487973	95.0%	0.164	-0.83371970682246
